Round,Timestamp,Score,Human_Steps,AI_X,AI_Y,Human_X,Human_Y,Action_Human
1,0.199,0,0,1,3,3,1,STAY
1,0.400,0,0,1,3,3,1,STAY
1,0.601,0,0,1,3,3,1,STAY
1,0.802,0,0,2,3,3,1,STAY
1,1.002,0,0,3,3,3,1,STAY
1,1.203,0,0,3,2,3,1,STAY
1,1.403,0,0,3,2,3,1,STAY
1,1.604,0,0,3,2,3,1,STAY
1,1.804,0,0,3,2,3,1,STAY
1,2.006,0,0,3,2,3,1,STAY
1,2.206,0,0,3,3,3,1,STAY
1,2.406,0,0,2,3,3,1,STAY
1,2.607,0,0,1,3,3,1,STAY
1,2.807,0,0,1,3,3,1,STAY
1,3.008,0,0,2,3,3,1,STAY
1,3.208,0,0,3,3,3,1,STAY
1,3.409,0,0,3,2,3,1,STAY
1,3.610,0,0,3,2,3,1,STAY
1,3.810,0,0,3,2,3,1,STAY
1,4.011,0,1,3,3,3,1,DOWN
1,4.211,0,1,2,3,3,1,STAY
1,4.413,0,1,1,3,3,1,STAY
1,4.612,0,1,1,3,3,1,STAY
1,4.813,0,2,1,3,3,1,UP
1,5.013,0,3,1,3,2,1,UP
1,5.214,0,3,2,3,1,1,STAY
1,5.414,0,4,3,3,1,1,RIGHT
1,5.615,0,5,3,2,1,2,RIGHT
1,5.816,0,6,3,1,1,3,RIGHT
1,6.018,0,6,3,1,1,3,STAY
1,6.218,0,6,2,1,1,3,STAY
1,6.418,0,6,1,1,1,3,STAY
1,6.619,0,6,1,2,1,3,STAY
1,6.819,0,6,1,2,1,3,STAY
1,7.020,0,6,1,2,1,3,STAY
1,7.222,0,6,1,2,1,3,STAY
1,7.421,0,6,1,2,1,3,STAY
1,7.622,0,6,1,2,1,3,STAY
1,7.822,0,7,1,2,1,3,UP
1,8.023,0,7,1,2,1,3,STAY
1,8.224,0,8,1,2,1,3,UP
1,8.424,0,9,1,2,1,3,UP
1,8.625,0,9,1,2,1,3,STAY
1,8.825,0,9,1,2,1,3,STAY
1,9.026,0,9,1,2,1,3,STAY
1,9.227,0,10,1,2,1,3,UP
1,9.426,0,10,1,2,1,3,STAY
1,9.628,0,10,1,2,1,3,STAY
1,9.827,0,11,1,2,1,3,UP
1,10.028,0,11,1,2,1,3,STAY
1,10.228,0,11,1,2,1,3,STAY
1,10.428,0,12,1,2,1,3,UP
1,10.629,0,12,1,2,1,3,STAY
1,10.829,0,12,1,2,1,3,STAY
1,11.029,0,12,1,2,1,3,STAY
1,11.231,0,12,1,2,1,3,STAY
1,11.430,0,13,1,2,1,3,RIGHT
1,11.630,0,13,1,2,1,3,STAY
1,11.831,0,14,1,2,1,3,UP
1,12.031,0,14,1,2,1,3,STAY
1,12.231,0,14,1,2,1,3,STAY
1,12.431,0,14,1,2,1,3,STAY
1,12.633,0,14,1,2,1,3,STAY
1,12.832,0,15,1,2,1,3,UP
1,13.033,1,15,1,1,1,3,STAY
1,13.234,1,15,1,1,1,3,STAY
1,13.434,1,16,1,1,1,3,UP
1,13.636,1,16,1,2,1,3,STAY
1,13.835,1,16,1,2,1,3,STAY
1,14.037,1,17,1,1,1,3,DOWN
1,14.237,1,18,1,1,2,3,DOWN
1,14.437,1,19,1,1,3,3,DOWN
1,14.638,2,19,1,1,3,3,STAY
1,14.838,2,19,1,2,3,3,STAY
1,15.039,2,19,1,3,3,3,STAY
1,15.240,2,20,1,3,3,3,DOWN
1,15.441,2,20,1,3,3,3,STAY
1,15.641,2,21,1,3,3,3,LEFT
1,15.842,2,21,1,3,3,2,STAY
1,16.043,2,22,1,3,3,2,DOWN
1,16.243,3,22,1,3,3,2,STAY
1,16.443,3,22,1,3,3,2,STAY
1,16.645,3,22,1,3,3,2,STAY
1,16.844,3,22,2,3,3,2,STAY
1,17.045,3,23,3,3,3,2,LEFT
1,17.246,3,24,3,2,3,1,LEFT
1,17.447,4,24,3,2,3,1,STAY
1,17.648,4,25,3,2,3,1,UP
1,17.848,4,25,3,3,2,1,STAY
1,18.048,4,26,2,3,2,1,UP
1,18.249,4,26,1,3,1,1,STAY
1,18.451,4,26,1,3,1,1,STAY
1,18.650,4,26,1,3,1,1,STAY
1,18.851,4,27,1,3,1,1,RIGHT
1,19.050,4,27,1,3,1,2,STAY
1,19.250,4,27,1,3,1,2,STAY
1,19.451,4,27,1,3,1,2,STAY
1,19.652,4,27,1,3,1,2,STAY
1,19.852,4,28,1,3,1,2,RIGHT
1,20.052,4,28,1,3,1,2,STAY
1,20.252,4,28,1,3,1,2,STAY
1,20.453,4,29,1,3,1,2,UP
1,20.654,4,29,1,3,1,2,STAY
1,20.854,4,29,1,3,1,2,STAY
1,21.055,4,30,1,3,1,2,UP
1,21.256,4,30,1,3,1,2,STAY
1,21.457,4,30,1,3,1,2,STAY
1,21.657,4,30,1,3,1,2,STAY
1,21.857,4,31,1,3,1,2,LEFT
1,22.057,4,31,1,3,1,1,STAY
1,22.257,4,32,1,3,1,1,DOWN
1,22.457,4,33,1,3,2,1,DOWN
1,22.658,4,33,1,3,3,1,STAY
1,22.859,4,34,1,3,3,1,RIGHT
1,23.058,4,35,1,3,3,2,RIGHT
1,23.258,4,35,1,3,3,3,STAY
1,23.459,4,35,1,3,3,3,STAY
1,23.660,4,35,1,3,3,3,STAY
1,23.861,4,35,1,3,3,3,STAY
1,24.061,4,36,1,3,3,3,UP
1,24.262,4,37,1,3,2,3,UP
1,24.462,4,38,1,3,2,3,UP
1,24.663,4,38,1,3,2,3,STAY
1,24.863,4,39,1,3,2,3,DOWN
1,25.063,4,39,1,3,3,3,STAY
1,25.264,4,40,1,3,3,3,LEFT
1,25.464,4,41,1,3,3,2,LEFT
1,25.665,4,42,1,3,3,1,LEFT
1,25.866,4,42,1,3,3,1,STAY
1,26.068,4,43,1,3,3,1,UP
1,26.268,4,43,2,3,2,1,STAY
1,26.468,4,43,3,3,2,1,STAY
1,26.668,4,43,3,2,2,1,STAY
1,26.868,4,44,3,1,2,1,DOWN
1,27.069,4,44,3,1,2,1,STAY
1,27.269,4,44,3,2,2,1,STAY
1,27.470,4,44,3,3,2,1,STAY
1,27.671,4,44,2,3,2,1,STAY
1,27.871,4,44,1,3,2,1,STAY
1,28.071,4,44,1,3,2,1,STAY
1,28.272,4,45,1,3,2,1,UP
1,28.472,4,45,1,3,1,1,STAY
1,28.673,4,45,1,3,1,1,STAY
1,28.875,4,45,2,3,1,1,STAY
1,29.074,4,45,3,3,1,1,STAY
1,29.276,4,45,3,2,1,1,STAY
1,29.477,5,45,3,2,1,1,STAY
1,29.676,5,46,3,1,1,1,RIGHT
1,29.877,5,46,3,1,1,2,STAY
1,30.078,5,46,3,2,1,2,STAY
1,30.278,5,46,3,3,1,2,STAY
1,30.480,5,46,2,3,1,2,STAY
1,30.680,5,46,1,3,1,2,STAY
1,30.880,5,46,1,3,1,2,STAY
1,31.079,5,46,1,3,1,2,STAY
1,31.280,5,46,1,3,1,2,STAY
1,31.480,5,46,1,3,1,2,STAY
1,31.680,5,46,1,3,1,2,STAY
1,31.881,5,46,2,3,1,2,STAY
1,32.081,5,46,3,3,1,2,STAY
1,32.282,5,46,3,2,1,2,STAY
1,32.482,6,46,3,2,1,2,STAY
1,32.683,6,46,3,1,1,2,STAY
1,32.883,6,46,3,1,1,2,STAY
1,33.084,6,46,3,2,1,2,STAY
1,33.284,6,46,3,3,1,2,STAY
1,33.485,6,46,2,3,1,2,STAY
1,33.685,6,46,1,3,1,2,STAY
1,33.886,6,46,1,3,1,2,STAY
1,34.085,6,46,1,3,1,2,STAY
1,34.287,6,46,1,3,1,2,STAY
1,34.486,6,46,1,3,1,2,STAY
1,34.687,6,46,2,3,1,2,STAY
1,34.887,6,47,3,3,1,2,LEFT
1,35.088,6,47,3,2,1,1,STAY
1,35.288,7,47,3,2,1,1,STAY
1,35.489,7,47,3,2,1,1,STAY
1,35.690,7,47,3,3,1,1,STAY
1,35.890,7,47,2,3,1,1,STAY
1,36.090,7,48,1,3,1,1,DOWN
1,36.291,7,48,1,3,2,1,STAY
1,36.491,7,49,2,3,2,1,DOWN
1,36.691,7,50,3,3,3,1,LEFT
1,36.892,7,50,3,2,3,1,STAY
1,37.092,7,51,3,2,3,1,UP
1,37.293,7,51,3,2,2,1,STAY
1,37.494,7,52,3,3,2,1,UP
1,37.693,7,52,2,3,1,1,STAY
1,37.893,7,52,1,3,1,1,STAY
1,38.095,7,52,1,3,1,1,STAY
1,38.296,7,52,1,3,1,1,STAY
1,38.497,7,52,1,3,1,1,STAY
1,38.698,7,52,1,3,1,1,STAY
1,38.897,7,52,1,3,1,1,STAY
1,39.099,7,52,1,3,1,1,STAY
1,39.299,7,53,1,3,1,1,DOWN
1,39.499,7,53,1,3,2,1,STAY
1,39.700,7,54,1,3,2,1,DOWN
1,39.900,7,54,1,3,3,1,STAY
1,40.100,7,55,1,3,3,1,RIGHT
1,40.301,7,55,2,3,3,2,STAY
1,40.502,7,55,3,3,3,2,STAY
1,40.702,7,55,3,3,3,2,STAY
1,40.902,7,56,3,3,3,2,LEFT
1,41.103,7,57,3,2,3,1,LEFT
1,41.304,7,57,3,2,3,1,STAY
1,41.504,7,57,3,2,3,1,STAY
1,41.705,7,57,3,2,3,1,STAY
1,41.905,7,58,3,2,3,1,UP
1,42.105,7,58,3,2,2,1,STAY
1,42.306,7,58,3,1,2,1,STAY
1,42.508,7,58,3,1,2,1,STAY
1,42.707,7,58,3,1,2,1,STAY
1,42.908,7,58,3,2,2,1,STAY
1,43.108,7,59,3,3,2,1,DOWN
1,43.308,7,60,2,3,3,1,DOWN
1,43.508,7,60,1,3,3,1,STAY
1,43.709,7,60,1,3,3,1,STAY
1,43.910,7,61,1,3,3,1,UP
1,44.110,7,61,1,3,2,1,STAY
1,44.311,7,61,1,3,2,1,STAY
1,44.512,7,61,2,3,2,1,STAY
1,44.711,7,62,3,3,2,1,UP
1,44.912,7,63,3,2,1,1,RIGHT
2,0.200,0,0,1,3,3,1,STAY
2,0.401,0,0,1,3,3,1,STAY
2,0.601,0,0,1,3,3,1,STAY
2,0.802,0,0,2,3,3,1,STAY
2,1.001,0,0,3,3,3,1,STAY
2,1.202,0,1,3,2,3,1,DOWN
2,1.402,0,1,3,2,3,1,STAY
2,1.603,0,2,3,2,3,1,UP
2,1.805,0,2,3,1,2,1,STAY
2,2.004,0,2,3,1,2,1,STAY
2,2.204,0,2,3,2,2,1,STAY
2,2.405,0,2,3,3,2,1,STAY
2,2.607,0,3,2,3,2,1,DOWN
2,2.806,0,4,1,3,3,1,RIGHT
2,3.006,0,5,1,3,3,2,RIGHT
2,3.207,0,5,1,3,3,3,STAY
