Round,Timestamp,AI_X,AI_Y,Human_X,Human_Y,AI_Holding_Dish,Human_Holding_Dish,Action_AI,Action_Human,Score_Count
1,0.200,1,3,3,1,False,False,UNKNOWN,STAY,0
1,0.400,1,3,3,1,False,False,UNKNOWN,STAY,0
1,0.600,1,3,3,1,False,False,UNKNOWN,STAY,0
1,0.800,1,3,3,1,False,False,UNKNOWN,STAY,0
1,1.000,1,3,3,1,False,False,DOWN,STAY,0
1,1.200,2,3,3,1,False,False,UNKNOWN,STAY,0
1,1.400,3,3,3,1,False,False,DOWN,STAY,0
1,1.600,3,2,3,1,False,False,DOWN,STAY,0
1,1.800,3,2,3,1,False,False,DOWN,STAY,0
1,2.000,3,2,3,1,False,False,DOWN,STAY,0
1,2.200,3,2,3,1,False,False,UNKNOWN,STAY,0
1,2.400,3,3,3,1,False,False,DOWN,STAY,0
1,2.600,2,3,3,1,False,False,UNKNOWN,STAY,0
1,2.800,1,3,3,1,False,False,UNKNOWN,STAY,0
1,3.000,1,3,3,1,False,False,UNKNOWN,LEFT,0
1,3.200,1,3,3,1,False,False,UNKNOWN,STAY,0
1,3.400,1,3,3,1,False,False,DOWN,STAY,0
1,3.600,1,3,3,1,False,False,DOWN,STAY,0
1,3.800,1,3,3,1,False,False,UP,STAY,0
1,4.000,1,3,3,1,False,False,UNKNOWN,STAY,0
1,4.200,1,3,3,1,False,False,UNKNOWN,STAY,0
1,4.400,1,3,3,1,False,False,UNKNOWN,STAY,0
1,4.600,1,3,3,1,False,False,UNKNOWN,STAY,0
1,4.800,1,3,3,1,False,False,DOWN,STAY,0
1,5.000,1,3,3,1,False,False,UNKNOWN,STAY,0
1,5.200,1,3,3,1,False,False,DOWN,STAY,0
1,5.400,1,3,3,1,False,False,UNKNOWN,STAY,0
1,5.600,1,3,3,1,False,False,UNKNOWN,STAY,0
1,5.800,1,3,3,1,False,False,UNKNOWN,STAY,0
1,6.000,1,3,3,1,False,False,UP,STAY,0
1,6.200,1,3,3,1,False,False,UNKNOWN,STAY,0
1,6.400,1,3,3,1,False,False,UNKNOWN,STAY,0
1,6.600,1,3,3,1,False,False,UNKNOWN,UP,0
1,6.800,1,3,2,1,False,False,DOWN,UP,0
1,7.000,1,3,1,1,False,False,UNKNOWN,STAY,0
1,7.200,1,3,1,1,False,False,DOWN,STAY,0
1,7.400,1,3,1,1,False,False,UNKNOWN,STAY,0
1,7.600,1,3,1,1,False,False,UNKNOWN,STAY,0
1,7.800,1,3,1,1,False,False,UNKNOWN,STAY,0
1,8.000,1,3,1,1,False,False,UP,STAY,0
1,8.200,1,3,1,1,False,False,UNKNOWN,STAY,0
1,8.400,1,3,1,1,False,False,DOWN,STAY,0
1,8.600,1,3,1,1,False,False,DOWN,RIGHT,0
1,8.800,1,3,1,2,False,False,DOWN,STAY,0
1,9.000,1,3,1,2,False,False,UNKNOWN,RIGHT,0
1,9.200,1,3,1,2,False,False,UNKNOWN,STAY,0
1,9.400,1,3,1,2,False,False,DOWN,STAY,0
1,9.600,1,3,1,2,False,False,UNKNOWN,STAY,0
1,9.800,1,3,1,2,False,False,UNKNOWN,STAY,0
1,10.000,1,3,1,2,False,False,DOWN,STAY,0
1,10.200,1,3,1,2,False,False,UNKNOWN,STAY,0
1,10.400,1,3,1,2,False,False,UNKNOWN,STAY,0
1,10.600,1,3,1,2,False,False,DOWN,STAY,0
1,10.800,1,3,1,2,False,False,UNKNOWN,STAY,0
1,11.000,1,3,1,2,False,False,UNKNOWN,STAY,0
1,11.200,1,3,1,2,False,False,UNKNOWN,STAY,0
1,11.400,1,3,1,2,False,False,UNKNOWN,STAY,0
1,11.600,1,3,1,2,False,False,DOWN,RIGHT,0
1,11.800,1,3,1,2,False,False,UNKNOWN,STAY,0
1,12.000,1,3,1,2,False,False,UNKNOWN,STAY,0
1,12.200,1,3,1,2,False,False,UNKNOWN,STAY,0
1,12.400,1,3,1,2,False,False,DOWN,STAY,0
1,12.600,1,3,1,2,False,False,UNKNOWN,STAY,0
1,12.800,1,3,1,2,False,False,UNKNOWN,STAY,0
1,13.000,1,3,1,2,False,False,UNKNOWN,STAY,0
