Round,Timestamp,AI_X,AI_Y,Human_X,Human_Y,AI_Holding_Dish,Human_Holding_Dish,Action_Human,Score_Count
1,0.200,1,3,3,1,False,False,STAY,0
1,0.400,1,3,3,1,False,False,STAY,0
1,0.600,1,3,3,1,False,False,STAY,0
1,0.800,1,3,3,1,False,False,STAY,0
1,1.000,1,3,3,1,False,False,STAY,0
1,1.200,2,3,3,1,False,False,STAY,0
1,1.400,3,3,3,1,False,False,STAY,0
1,1.600,3,2,3,1,False,False,LEFT,0
1,1.800,3,2,3,1,False,False,STAY,0
1,2.000,3,2,3,1,False,False,UP,0
1,2.200,3,2,2,1,False,False,STAY,0
1,2.400,3,3,2,1,False,False,UP,0
1,2.596,2,3,1,1,False,False,UP,0
1,2.804,1,3,1,1,False,False,STAY,0
1,3.004,1,3,1,1,False,False,RIGHT,0
1,3.204,1,3,1,2,False,False,STAY,0
1,3.404,1,3,1,2,False,False,STAY,0
1,3.604,1,3,1,2,False,False,LEFT,0
1,3.804,1,2,1,1,False,False,STAY,0
1,4.004,1,2,1,1,False,False,UP,0
1,4.204,1,3,1,1,False,False,STAY,0
1,4.404,1,3,1,1,False,False,DOWN,0
1,4.604,1,3,2,1,False,False,STAY,0
1,4.804,1,3,2,1,False,False,UP,0
1,5.004,1,3,1,1,False,False,STAY,0
1,5.204,1,3,1,1,False,False,RIGHT,0
1,5.404,1,3,1,2,False,False,STAY,0
1,5.604,1,3,1,2,False,False,STAY,0
1,5.804,1,3,1,2,False,False,STAY,0
1,6.004,1,3,1,2,False,False,STAY,0
1,6.204,1,3,1,2,False,False,LEFT,0
1,6.404,1,3,1,1,False,False,STAY,0
1,6.604,1,3,1,1,False,False,STAY,0
1,6.804,1,3,1,1,False,False,STAY,0
1,7.004,1,3,1,1,False,False,STAY,0
1,7.204,1,3,1,1,False,False,STAY,0
1,7.404,1,3,1,1,False,False,STAY,0
1,7.604,1,3,1,1,False,False,DOWN,0
1,7.804,1,3,2,1,False,False,STAY,0
1,8.004,1,3,2,1,False,False,STAY,0
1,8.204,1,3,2,1,False,False,UP,0
1,8.404,1,3,1,1,False,False,STAY,0
1,8.605,1,3,1,1,False,False,RIGHT,0
1,8.805,1,3,1,2,False,False,STAY,0
1,9.005,1,3,1,2,False,False,DOWN,0
1,9.205,1,3,1,2,False,False,LEFT,0
1,9.405,1,3,1,1,False,False,STAY,0
1,9.605,2,3,1,1,False,False,STAY,0
1,9.805,2,3,1,1,False,False,DOWN,0
1,10.005,1,3,2,1,False,False,STAY,0
1,10.205,1,3,2,1,False,False,STAY,0
1,10.405,1,3,2,1,False,False,DOWN,0
1,10.605,1,3,3,1,False,False,STAY,0
1,10.805,1,3,3,1,True,False,DOWN,0
