round,step,elapsed_sec,selected_agent,obs_1,obs_2,ai_macro_action,ai_macro_name,ai_primitive_action,human_action,human_action_label,reward,done,info
1,1,0.25,1,"[0.2, 0.6, 1.0, 0.0, 0.0, 0.6, 0.2, 0.0, 1.0, 0.4, -0.6, 0.0, 0.6, -0.4, 0.0, 0.0, 0.2, 0.0, 0.2, 0.2, 0.0, -0.2, 0.0, 0.0, 0.6, -0.2]","[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.2, 0.0, 1.0, 0.4, -0.4, 0.0, 0.6, -0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]",11,left,2,4,STAY,-1.0,False,"{""cur_mac"": [2, 4], ""mac_done"": [true, true], ""collision"": []}"
1,2,0.5,1,"[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.2, 0.0, 1.0, 0.4, -0.4, 0.0, 0.6, -0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]","[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.2, 0.0, 1.0, 0.4, -0.4, 0.0, 0.6, -0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]",2,get lettuece 2,4,4,STAY,-1.0,False,"{""cur_mac"": [4, 4], ""mac_done"": [true, true], ""collision"": []}"
1,3,0.75,1,"[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.2, 0.0, 1.0, 0.4, -0.4, 0.0, 0.6, -0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]","[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.2, 0.0, 1.0, 0.4, -0.4, 0.0, 0.6, -0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]",2,get lettuece 2,4,4,STAY,-1.0,False,"{""cur_mac"": [4, 4], ""mac_done"": [true, true], ""collision"": []}"
1,4,1.001,1,"[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.2, 0.0, 1.0, 0.4, -0.4, 0.0, 0.6, -0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]","[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.2, 0.0, 1.0, 0.4, -0.4, 0.0, 0.4, -0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]",2,get lettuece 2,4,1,DOWN,-1.0,False,"{""cur_mac"": [4, 1], ""mac_done"": [true, true], ""collision"": []}"
1,5,1.252,1,"[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.2, 0.0, 1.0, 0.4, -0.4, 0.0, 0.4, -0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]","[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.2, 0.0, 1.0, 0.4, -0.4, 0.0, 0.4, -0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]",2,get lettuece 2,4,4,STAY,-1.0,False,"{""cur_mac"": [4, 4], ""mac_done"": [true, true], ""collision"": []}"
1,6,1.502,1,"[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.2, 0.0, 1.0, 0.4, -0.4, 0.0, 0.4, -0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]","[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.2, 0.0, 1.0, 0.4, -0.4, 0.0, 0.4, -0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]",2,get lettuece 2,4,4,STAY,-1.0,False,"{""cur_mac"": [4, 4], ""mac_done"": [true, true], ""collision"": []}"
1,7,1.752,1,"[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.2, 0.0, 1.0, 0.4, -0.4, 0.0, 0.4, -0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]","[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.2, 0.0, 1.0, 0.4, -0.4, 0.0, 0.4, -0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]",2,get lettuece 2,4,4,STAY,-1.0,False,"{""cur_mac"": [4, 4], ""mac_done"": [true, true], ""collision"": []}"
1,8,2.003,1,"[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.2, 0.0, 1.0, 0.4, -0.4, 0.0, 0.4, -0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]","[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.4, 0.0, 1.0, 0.4, -0.4, 0.0, 0.4, 0.0, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]",2,get lettuece 2,4,0,RIGHT,-1.0,False,"{""cur_mac"": [4, 0], ""mac_done"": [true, true], ""collision"": []}"
1,9,2.253,1,"[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.4, 0.0, 1.0, 0.4, -0.4, 0.0, 0.4, 0.0, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]","[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.4, 0.0, 1.0, 0.4, -0.4, 0.0, 0.4, 0.0, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]",2,get lettuece 2,4,4,STAY,-1.0,False,"{""cur_mac"": [4, 4], ""mac_done"": [true, true], ""collision"": []}"
1,10,2.503,1,"[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.4, 0.0, 1.0, 0.4, -0.4, 0.0, 0.4, 0.0, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]","[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.6, 0.0, 1.0, 0.4, -0.4, 0.0, 0.4, 0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]",2,get lettuece 2,4,0,RIGHT,-1.0,False,"{""cur_mac"": [4, 0], ""mac_done"": [true, true], ""collision"": []}"
1,11,2.754,1,"[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.6, 0.0, 1.0, 0.4, -0.4, 0.0, 0.4, 0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]","[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.6, 0.0, 1.0, 0.4, -0.4, 0.0, 0.4, 0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]",2,get lettuece 2,4,4,STAY,-1.0,False,"{""cur_mac"": [4, 4], ""mac_done"": [true, true], ""collision"": []}"
1,12,3.003,1,"[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.6, 0.0, 1.0, 0.4, -0.4, 0.0, 0.4, 0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]","[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.6, 0.0, 1.0, 0.4, -0.4, 0.0, 0.6, 0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]",2,get lettuece 2,4,1,DOWN,-1.0,False,"{""cur_mac"": [4, 1], ""mac_done"": [true, true], ""collision"": []}"
1,13,3.255,1,"[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.6, 0.0, 1.0, 0.4, -0.4, 0.0, 0.6, 0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]","[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.6, 0.0, 1.0, 0.4, -0.4, 0.0, 0.6, 0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]",2,get lettuece 2,4,4,STAY,-1.0,False,"{""cur_mac"": [4, 4], ""mac_done"": [true, true], ""collision"": []}"
1,14,3.505,1,"[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.6, 0.0, 1.0, 0.4, -0.4, 0.0, 0.6, 0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]","[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.4, 0.0, 1.0, 0.4, -0.4, 0.0, 0.6, 0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]",2,get lettuece 2,4,2,LEFT,-1.0,False,"{""cur_mac"": [4, 2], ""mac_done"": [true, true], ""collision"": []}"
1,15,3.756,1,"[0.2, 0.4, 1.0, 0.0, 0.0, 0.6, 0.4, 0.0, 1.0, 0.4, -0.4, 0.0, 0.6, 0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.4, 0.0, -0.2, 0.2, 0.0, 0.6, 0.0]","[0.2, 0.6, 1.0, 0.0, 0.0, 0.6, 0.4, 0.0, 1.0, 0.4, -0.6, 0.0, 0.6, 0.0, 0.0, 0.0, 0.2, 0.0, 0.2, 0.2, 0.0, -0.2, 0.0, 0.0, 0.6, -0.2]",2,get lettuece 2,0,4,STAY,-1.0,False,"{""cur_mac"": [0, 4], ""mac_done"": [true, true], ""collision"": []}"
1,16,4.006,1,"[0.2, 0.6, 1.0, 0.0, 0.0, 0.6, 0.4, 0.0, 1.0, 0.4, -0.6, 0.0, 0.6, 0.0, 0.0, 0.0, 0.2, 0.0, 0.2, 0.2, 0.0, -0.2, 0.0, 0.0, 0.6, -0.2]","[0.4, 0.6, 1.0, 0.0, 0.0, 0.6, 0.2, 0.0, 1.0, 0.2, -0.6, 0.0, 0.4, 0.0, 0.0, -0.2, 0.2, 0.0, 0.0, 0.2, 0.0, -0.4, 0.0, 0.0, 0.4, -0.2]",2,get lettuece 2,1,2,LEFT,-1.0,False,"{""cur_mac"": [1, 2], ""mac_done"": [true, true], ""collision"": []}"
1,17,4.257,1,"[0.4, 0.6, 1.0, 0.0, 0.0, 0.6, 0.2, 0.0, 1.0, 0.2, -0.6, 0.0, 0.4, 0.0, 0.0, -0.2, 0.2, 0.0, 0.0, 0.2, 0.0, -0.4, 0.0, 0.0, 0.4, -0.2]","[0.6, 0.6, 1.0, 0.0, 0.0, 0.6, 0.2, 0.0, 1.0, 0.0, -0.6, 0.0, 0.2, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]",2,get lettuece 2,1,4,STAY,-1.0,False,"{""cur_mac"": [1, 4], ""mac_done"": [true, true], ""collision"": []}"
1,18,4.507,1,"[0.6, 0.6, 1.0, 0.0, 0.0, 0.6, 0.2, 0.0, 1.0, 0.0, -0.6, 0.0, 0.2, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]","[0.6, 0.6, 1.0, 0.0, 1.0, 0.6, 0.2, 0.0, 1.0, 0.0, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]",2,get lettuece 2,1,2,LEFT,-1.0,False,"{""cur_mac"": [1, 2], ""mac_done"": [true, true], ""collision"": []}"
1,19,4.758,1,"[0.6, 0.6, 1.0, 0.0, 1.0, 0.6, 0.2, 0.0, 1.0, 0.0, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]","[0.6, 0.6, 1.0, 0.0, 1.0, 0.6, 0.2, 0.0, 1.0, 0.0, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]",0,stay,4,4,STAY,-1.0,False,"{""cur_mac"": [4, 4], ""mac_done"": [true, true], ""collision"": []}"
1,20,5.007,1,"[0.6, 0.6, 1.0, 0.0, 1.0, 0.6, 0.2, 0.0, 1.0, 0.0, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]","[0.6, 0.6, 1.0, 0.0, 1.0, 0.6, 0.2, 0.0, 1.0, 0.0, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]",0,stay,4,4,STAY,-1.0,False,"{""cur_mac"": [4, 4], ""mac_done"": [true, true], ""collision"": []}"
1,21,5.257,1,"[0.6, 0.6, 1.0, 0.0, 1.0, 0.6, 0.2, 0.0, 1.0, 0.0, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]","[0.6, 0.6, 1.0, 0.0, 1.0, 0.6, 0.2, 0.0, 1.0, 0.0, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]",0,stay,4,4,STAY,-1.0,False,"{""cur_mac"": [4, 4], ""mac_done"": [true, true], ""collision"": []}"
1,22,5.508,1,"[0.6, 0.6, 1.0, 0.0, 1.0, 0.6, 0.2, 0.0, 1.0, 0.0, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]","[0.6, 0.6, 1.0, 0.0, 1.0, 0.6, 0.2, 0.0, 1.0, 0.0, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]",0,stay,4,4,STAY,-1.0,False,"{""cur_mac"": [4, 4], ""mac_done"": [true, true], ""collision"": []}"
1,23,5.758,1,"[0.6, 0.6, 1.0, 0.0, 1.0, 0.6, 0.2, 0.0, 1.0, 0.0, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]","[0.6, 0.6, 1.0, 0.0, 1.0, 0.6, 0.2, 0.0, 1.0, 0.0, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]",0,stay,4,4,STAY,-1.0,False,"{""cur_mac"": [4, 4], ""mac_done"": [true, true], ""collision"": []}"
1,24,6.009,1,"[0.6, 0.6, 1.0, 0.0, 1.0, 0.6, 0.2, 0.0, 1.0, 0.0, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]","[0.6, 0.6, 1.0, 0.0, 1.0, 0.4, 0.2, 0.0, 1.0, -0.2, -0.4, 0.0, 0.0, 0.0, 0.0, -0.4, 0.2, 0.0, -0.2, 0.2, 0.0, -0.6, 0.0, 0.0, 0.2, -0.2]",0,stay,4,3,UP,-1.0,False,"{""cur_mac"": [4, 3], ""mac_done"": [true, true], ""collision"": []}"
