episode,round,human_steps,ai_steps,human_score,ai_score,human_reward_score,ai_reward_score,dishes
1,1,90,45,110,155,0,195,1
1,2,92,60,508,540,188,340,3
1,3,69,39,-69,-39,21,-69,0
2,1,80,49,520,551,0,621,3
2,2,59,59,341,341,-49,411,2
2,3,70,83,530,517,-30,647,3
3,1,71,65,329,335,19,415,2
3,2,68,26,132,174,32,184,1
3,3,43,48,357,352,-23,422,2
4,1,73,78,127,122,-13,122,1
4,2,64,107,736,693,-44,863,4
4,3,29,41,171,159,-29,229,1
5,1,42,10,-42,-10,-42,-10,0
5,2,37,10,-37,-10,-37,20,0
5,3,57,12,-57,-12,-107,18,0
6,1,74,53,526,547,416,207,3
6,2,86,73,714,727,394,417,4
6,3,73,66,327,334,217,144,2
7,1,42,29,-42,-29,8,-129,0
7,2,42,84,158,116,-22,16,1
7,3,7,148,793,652,-7,862,4
8,1,90,,310,,440,,2
8,2,85,,315,,425,,2
8,3,82,,318,,448,,2
9,1,64,14,136,186,226,-14,1
9,2,75,16,325,384,415,-16,2
9,3,100,15,100,185,190,-15,1
10,1,91,,309,,439,,2
10,2,100,,300,,430,,2
10,3,89,,311,,441,,2
11,1,102,4,-102,-4,-102,-4,0
11,2,98,41,302,359,432,-41,2
11,3,95,25,305,375,395,-25,2
12,1,48,133,-48,-133,42,-133,0
12,2,57,140,143,60,23,80,1
12,3,62,52,138,148,-22,218,1
13,1,78,69,322,331,2,351,2
13,2,56,100,744,700,-36,850,4
13,3,74,110,726,690,6,790,4
14,1,88,92,712,708,-28,738,4
14,2,78,144,1322,1256,-78,1566,7
14,3,87,131,1313,1269,-87,1559,7
15,1,70,55,330,345,-70,475,2
15,2,70,45,330,355,-50,445,2
15,3,76,40,324,360,-76,450,2
16,1,69,94,731,706,-9,816,4
16,2,75,90,725,710,5,770,4
16,3,64,92,536,508,-4,568,3
