episode,round,human_steps,ai_steps,human_score,ai_score,human_reward_score,ai_reward_score,dishes
1,1,55,98,545,502,165,412,3
1,2,55,50,345,350,195,140,2
1,3,65,76,535,524,175,414,3
2,1,72,17,328,383,418,-17,2
2,2,69,14,331,386,421,-14,2
2,3,68,24,-68,-24,-8,-64,0
3,1,67,36,333,364,173,214,2
3,2,71,46,329,354,29,384,2
3,3,66,39,534,561,214,411,3
4,1,73,1,127,199,217,-1,1
4,2,81,0,119,200,209,0,1
4,3,22,2,-22,-2,-22,-2,0
5,1,65,96,935,904,-65,1124,5
5,2,65,149,1335,1251,-65,1541,7
5,3,66,140,1134,1060,-66,1350,6
6,1,44,159,156,41,-44,101,1
6,2,59,160,-59,-160,-109,-150,0
6,3,97,96,1103,1104,633,624,6
7,1,62,125,938,875,178,845,5
7,2,67,123,933,877,183,847,5
7,3,60,101,740,699,-20,829,4
8,1,77,,323,,433,,2
8,2,88,,312,,442,,2
8,3,78,,322,,432,,2
9,1,57,114,743,686,183,636,4
9,2,61,116,739,684,199,654,4
9,3,64,111,736,689,216,619,4
10,1,81,,319,,429,,2
10,2,79,,521,,651,,3
10,3,65,,335,,425,,2
11,1,64,85,736,715,186,645,4
11,2,70,104,730,696,190,646,4
11,3,73,77,527,523,207,413,3
12,1,70,121,130,79,30,109,1
12,2,71,112,-71,-112,9,-132,0
12,3,66,87,134,113,194,-87,1
13,1,83,133,317,267,187,-163,2
13,2,68,87,332,313,22,163,2
13,3,76,77,324,323,-6,313,2
14,1,62,38,338,362,178,212,2
14,2,54,16,-54,-16,-54,-16,0
14,3,55,151,1145,1049,185,1059,6
15,1,89,8,311,392,401,-8,2
15,2,72,8,328,392,418,-8,2
15,3,91,8,309,392,439,-8,2
16,1,62,90,538,510,18,570,3
16,2,73,89,127,111,7,111,1
16,3,79,95,721,705,211,555,4
