episode,round,human_steps,ai_steps,human_reward_score,ai_reward_score,dishes,mental_demand,performance_score
1,1,57,33,33,167,1,12,15
1,2,68,60,22,380,2,12,15
1,3,68,106,-68,1344,6,12,15
2,1,109,148,-109,2042,9,15,17
2,2,79,99,-79,1131,5,15,17
2,3,95,121,-95,1569,7,15,17
3,1,52,93,-2,-93,0,19,8
3,2,70,119,460,-169,2,19,8
3,3,65,126,205,334,3,19,8
4,1,91,99,-91,1351,6,11,11
4,2,82,98,-82,1082,5,11,11
4,3,74,103,-34,867,4,11,11
5,1,95,22,615,-2,3,16,11
5,2,90,35,600,5,3,16,11
5,3,88,32,602,28,3,16,11
6,1,55,35,-55,255,1,16,4
6,2,32,12,-32,38,0,16,4
7,1,81,102,-71,608,3,15,10
7,2,79,99,-19,561,3,15,10
7,3,80,99,-20,781,4,15,10
