episode,round,human_steps,ai_steps,human_score,ai_score,human_reward_score,ai_reward_score,dishes
1,1,20,29.0,380,371.0,-20,461.0,2
1,2,81,149.0,1719,1651.0,-81,2041.0,9
1,3,86,95.0,1114,1105.0,-86,1355.0,6
2,1,72,59.0,-72,-59.0,18,-139.0,0
2,2,79,59.0,-79,-59.0,-29,-167.0,0
2,3,52,61.0,348,339.0,238,85.0,2
3,1,67,44.0,733,756.0,463,399.0,4
3,2,94,85.0,2106,2115.0,1356,1069.0,11
3,3,99,96.0,1901,1904.0,1151,1083.0,10
4,1,87,87.0,1113,1113.0,683,672.0,6
4,2,73,57.0,327,343.0,217,119.0,2
4,3,102,105.0,2298,2295.0,1368,1351.0,12
5,1,99,4.0,701,796.0,871,-2.0,4
5,2,95,3.0,305,397.0,365,-3.0,2
5,3,76,5.0,524,595.0,604,-5.0,3
6,1,92,45.0,1508,1555.0,1158,610.0,8
6,2,86,65.0,1314,1335.0,674,834.0,7
6,3,13,60.0,1787,1740.0,-13,2032.0,9
7,1,96,15.0,1104,1185.0,1374,-85.0,6
7,2,101,16.0,1299,1384.0,1589,-81.0,7
7,3,102,17.0,1098,1183.0,1388,-92.0,6
8,1,103,,1097,,1347,,6
8,2,113,,1087,,1377,,6
8,3,110,,1090,,1380,,6
9,1,65,50.0,1935,1950.0,-65,2307.0,10
9,2,54,52.0,2146,2148.0,-54,2538.0,11
9,3,53,53.0,2347,2347.0,-53,2734.0,12
10,1,114,,1286,,1576,,7
10,2,102,,898,,1148,,5
10,3,112,,1088,,1378,,6
11,1,60,47.0,2140,2153.0,-60,2497.0,11
11,2,54,47.0,2146,2153.0,-54,2537.0,11
11,3,55,49.0,2145,2151.0,-55,2521.0,11
12,1,63,57.0,337,343.0,67,251.0,2
12,2,89,73.0,711,727.0,121,616.0,4
12,3,9,160.0,2191,2040.0,-9,2480.0,11
13,1,64,60.0,1536,1540.0,466,1299.0,8
13,2,57,52.0,943,948.0,423,673.0,5
13,3,86,76.0,1314,1324.0,674,874.0,7
14,1,42,45.0,1358,1355.0,228,1293.0,7
14,2,40,41.0,760,758.0,-50,908.0,4
14,3,20,22.0,2180,2178.0,220,2255.0,11
15,1,94,10.0,706,790.0,876,-54.0,4
15,2,102,13.0,898,987.0,1108,-63.0,5
15,3,114,4.0,1286,1396.0,1576,-8.0,7
16,1,72,62.0,928,938.0,168,870.0,5
16,2,78,65.0,1522,1535.0,162,1597.0,8
16,3,68,59.0,1732,1741.0,172,1827.0,9
