participant_id,condition,n_episodes,n_rounds,mean_dishes_per_round,mean_team_reward_per_round,mean_human_steps_per_round,human_steps_per_dish,dishes_per_100_human_steps,mean_mental_demand,mean_subjective_performance
Test_thinpath_P0,Best-policy,1,3,11.333333333333334,2361.0,149.0,13.147058823529411,7.6062639821029085,1.0,20.0
Test_thinpath_P0,Solo,2,4,4.0,870.0,135.0,33.75,2.962962962962963,1.0,12.0
Thinpath_P01,Best-policy,1,3,9.666666666666666,1930.6666666666667,152.0,15.724137931034482,6.359649122807017,12.0,18.0
Thinpath_P01,Solo,2,6,4.0,814.8333333333334,153.5,38.375,2.6058631921824102,12.0,13.0
Thinpath_P02,Best-policy,1,3,3.6666666666666665,708.6666666666666,75.0,20.454545454545453,4.888888888888889,11.0,9.0
Thinpath_P02,Solo,2,6,4.166666666666667,888.5,128.16666666666666,30.76,3.250975292587776,7.5,9.0
Thinpath_P04,Best-policy,1,3,14.0,2957.0,180.66666666666666,12.904761904761905,7.749077490774908,7.0,16.0
Thinpath_P04,Solo,2,6,4.833333333333333,1005.6666666666666,167.66666666666666,34.689655172413794,2.8827037773359843,13.0,8.5
Thinpath_p03,Best-policy,1,3,2.6666666666666665,523.3333333333334,63.333333333333336,23.75,4.2105263157894735,11.0,8.0
Thinpath_p03,Solo,2,6,4.333333333333333,926.6666666666666,123.33333333333333,28.46153846153846,3.5135135135135136,8.5,12.5
circle_pilot_07_05,Best-policy,1,3,19.666666666666668,4391.0,170.33333333333334,8.661016949152541,11.545988258317026,8.0,15.0
circle_pilot_07_05,Solo,2,6,10.5,2386.0,160.66666666666666,15.301587301587302,6.535269709543568,13.5,13.5
counter_pilot_07_05,Best-policy,1,3,8.0,1601.0,180.33333333333334,22.541666666666668,4.436229205175601,3.0,20.0
counter_pilot_07_05,Solo,2,6,7.333333333333333,1551.0,227.33333333333334,31.0,3.225806451612903,12.0,18.5
thinpath_pilot_07_05,Best-policy,1,3,10.0,1918.6666666666667,160.33333333333334,16.033333333333335,6.237006237006237,7.0,16.0
thinpath_pilot_07_05,Solo,2,6,4.0,820.1666666666666,146.5,36.625,2.7303754266211606,8.0,14.5
thinpath_test_02_06_05_,Best-policy,1,3,9.0,1847.3333333333333,156.66666666666666,17.40740740740741,5.74468085106383,10.0,12.0
thinpath_test_02_06_05_,Solo,2,6,5.166666666666667,1073.5,189.83333333333334,36.74193548387097,2.7216856892010535,11.0,14.5
thinpath_test_03_06_05_,Best-policy,1,3,5.666666666666667,1114.6666666666667,117.33333333333333,20.705882352941178,4.829545454545454,5.0,14.0
thinpath_test_03_06_05_,Solo,2,4,2.25,479.75,75.25,33.44444444444444,2.990033222591362,10.0,10.0
thinpath_test_06_05,Best-policy,1,3,6.333333333333333,1249.0,115.33333333333333,18.210526315789473,5.491329479768786,6.0,18.0
thinpath_test_06_05,Solo,2,6,3.6666666666666665,752.8333333333334,143.83333333333334,39.22727272727273,2.549246813441483,12.5,8.5
