participant_id,episode_index,episode_phase,task,human_count,ai_count,total_count,human_share,was_skipped
Thinpath_P01,1,seed,Assemble salad,2.0,3.0,5.0,0.4,False
Thinpath_P01,1,seed,Chop,3.0,3.0,6.0,0.5,False
Thinpath_P01,1,seed,Deliver correct,0.0,2.0,2.0,0.0,False
Thinpath_P01,1,seed,Deliver wrong,0.0,1.0,1.0,0.0,False
Thinpath_P01,1,seed,Pick up from knife,4.0,3.0,7.0,0.5714285714285714,False
Thinpath_P01,1,seed,Pickup lettuce,9.0,5.0,14.0,0.6428571428571429,False
Thinpath_P01,1,seed,Pickup plate,2.0,3.0,5.0,0.4,False
Thinpath_P01,1,seed,Place on counter,7.0,1.0,8.0,0.875,False
Thinpath_P01,1,seed,Place on knife,4.0,3.0,7.0,0.5714285714285714,False
Thinpath_P01,2,seed,Assemble salad,4.0,7.0,11.0,0.36363636363636365,False
Thinpath_P01,2,seed,Chop,5.0,7.0,12.0,0.4166666666666667,False
Thinpath_P01,2,seed,Deliver correct,3.0,7.0,10.0,0.3,False
Thinpath_P01,2,seed,Deliver wrong,0.0,4.0,4.0,0.0,False
Thinpath_P01,2,seed,Pick up from knife,6.0,7.0,13.0,0.46153846153846156,False
Thinpath_P01,2,seed,Pickup lettuce,21.0,11.0,32.0,0.65625,False
Thinpath_P01,2,seed,Pickup plate,8.0,8.0,16.0,0.5,False
Thinpath_P01,2,seed,Place on counter,22.0,0.0,22.0,1.0,False
Thinpath_P01,2,seed,Place on knife,6.0,7.0,13.0,0.46153846153846156,False
Thinpath_P01,3,seed,Assemble salad,2.0,10.0,12.0,0.16666666666666666,False
Thinpath_P01,3,seed,Chop,3.0,10.0,13.0,0.23076923076923078,False
Thinpath_P01,3,seed,Deliver correct,6.0,4.0,10.0,0.6,False
Thinpath_P01,3,seed,Deliver wrong,0.0,1.0,1.0,0.0,False
Thinpath_P01,3,seed,Pick up from knife,3.0,10.0,13.0,0.23076923076923078,False
Thinpath_P01,3,seed,Pickup lettuce,18.0,11.0,29.0,0.6206896551724138,False
Thinpath_P01,3,seed,Pickup plate,29.0,4.0,33.0,0.8787878787878788,False
Thinpath_P01,3,seed,Place on counter,38.0,0.0,38.0,1.0,False
Thinpath_P01,3,seed,Place on knife,3.0,10.0,13.0,0.23076923076923078,False
Thinpath_P01,4,seed,Assemble salad,5.0,5.0,10.0,0.5,False
Thinpath_P01,4,seed,Chop,9.0,5.0,14.0,0.6428571428571429,False
Thinpath_P01,4,seed,Deliver correct,6.0,1.0,7.0,0.8571428571428571,False
Thinpath_P01,4,seed,Deliver wrong,2.0,3.0,5.0,0.4,False
Thinpath_P01,4,seed,Pick up from knife,10.0,5.0,15.0,0.6666666666666666,False
Thinpath_P01,4,seed,Pickup lettuce,30.0,11.0,41.0,0.7317073170731707,False
Thinpath_P01,4,seed,Pickup plate,21.0,1.0,22.0,0.9545454545454546,False
Thinpath_P01,4,seed,Place on counter,36.0,3.0,39.0,0.9230769230769231,False
Thinpath_P01,4,seed,Place on knife,10.0,5.0,15.0,0.6666666666666666,False
Thinpath_P01,5,seed,Assemble salad,0.0,16.0,16.0,0.0,False
Thinpath_P01,5,seed,Chop,0.0,17.0,17.0,0.0,False
Thinpath_P01,5,seed,Deliver correct,14.0,0.0,14.0,1.0,False
Thinpath_P01,5,seed,Deliver wrong,0.0,1.0,1.0,0.0,False
Thinpath_P01,5,seed,Pick up from knife,0.0,17.0,17.0,0.0,False
Thinpath_P01,5,seed,Pickup lettuce,20.0,17.0,37.0,0.5405405405405406,False
Thinpath_P01,5,seed,Pickup plate,37.0,1.0,38.0,0.9736842105263158,False
Thinpath_P01,5,seed,Place on counter,42.0,0.0,42.0,1.0,False
Thinpath_P01,5,seed,Place on knife,0.0,17.0,17.0,0.0,False
Thinpath_P01,6,bo,Assemble salad,0.0,4.0,4.0,0.0,True
Thinpath_P01,6,bo,Chop,0.0,6.0,6.0,0.0,True
Thinpath_P01,6,bo,Deliver correct,1.0,3.0,4.0,0.25,True
Thinpath_P01,6,bo,Deliver wrong,0.0,0.0,0.0,,True
Thinpath_P01,6,bo,Pick up from knife,0.0,6.0,6.0,0.0,True
Thinpath_P01,6,bo,Pickup lettuce,21.0,7.0,28.0,0.75,True
Thinpath_P01,6,bo,Pickup plate,24.0,3.0,27.0,0.8888888888888888,True
Thinpath_P01,6,bo,Place on counter,44.0,0.0,44.0,1.0,True
Thinpath_P01,6,bo,Place on knife,0.0,7.0,7.0,0.0,True
Thinpath_P01,7,bo,Assemble salad,0.0,22.0,22.0,0.0,False
Thinpath_P01,7,bo,Chop,0.0,22.0,22.0,0.0,False
Thinpath_P01,7,bo,Deliver correct,0.0,20.0,20.0,0.0,False
Thinpath_P01,7,bo,Deliver wrong,0.0,0.0,0.0,,False
Thinpath_P01,7,bo,Pick up from knife,0.0,22.0,22.0,0.0,False
Thinpath_P01,7,bo,Pickup lettuce,32.0,23.0,55.0,0.5818181818181818,False
Thinpath_P01,7,bo,Pickup plate,33.0,22.0,55.0,0.6,False
Thinpath_P01,7,bo,Place on counter,64.0,0.0,64.0,1.0,False
Thinpath_P01,7,bo,Place on knife,0.0,22.0,22.0,0.0,False
Thinpath_P01,9,bo,Assemble salad,7.0,7.0,14.0,0.5,False
Thinpath_P01,9,bo,Chop,7.0,8.0,15.0,0.4666666666666667,False
Thinpath_P01,9,bo,Deliver correct,7.0,7.0,14.0,0.5,False
Thinpath_P01,9,bo,Deliver wrong,0.0,0.0,0.0,,False
Thinpath_P01,9,bo,Pick up from knife,6.0,8.0,14.0,0.42857142857142855,False
Thinpath_P01,9,bo,Pickup lettuce,31.0,10.0,41.0,0.7560975609756098,False
Thinpath_P01,9,bo,Pickup plate,32.0,7.0,39.0,0.8205128205128205,False
Thinpath_P01,9,bo,Place on counter,48.0,1.0,49.0,0.9795918367346939,False
Thinpath_P01,9,bo,Place on knife,7.0,8.0,15.0,0.4666666666666667,False
Thinpath_P01,11,bo,Assemble salad,0.0,30.0,30.0,0.0,False
Thinpath_P01,11,bo,Chop,0.0,31.0,31.0,0.0,False
Thinpath_P01,11,bo,Deliver correct,0.0,30.0,30.0,0.0,False
Thinpath_P01,11,bo,Deliver wrong,0.0,1.0,1.0,0.0,False
Thinpath_P01,11,bo,Pick up from knife,0.0,31.0,31.0,0.0,False
Thinpath_P01,11,bo,Pickup lettuce,36.0,32.0,68.0,0.5294117647058824,False
Thinpath_P01,11,bo,Pickup plate,49.0,31.0,80.0,0.6125,False
Thinpath_P01,11,bo,Place on counter,85.0,0.0,85.0,1.0,False
Thinpath_P01,11,bo,Place on knife,0.0,31.0,31.0,0.0,False
Thinpath_P01,12,bo,Assemble salad,6.0,7.0,13.0,0.46153846153846156,False
Thinpath_P01,12,bo,Chop,7.0,7.0,14.0,0.5,False
Thinpath_P01,12,bo,Deliver correct,5.0,7.0,12.0,0.4166666666666667,False
Thinpath_P01,12,bo,Deliver wrong,0.0,0.0,0.0,,False
Thinpath_P01,12,bo,Pick up from knife,7.0,7.0,14.0,0.5,False
Thinpath_P01,12,bo,Pickup lettuce,25.0,8.0,33.0,0.7575757575757576,False
Thinpath_P01,12,bo,Pickup plate,24.0,7.0,31.0,0.7741935483870968,False
Thinpath_P01,12,bo,Place on counter,37.0,0.0,37.0,1.0,False
Thinpath_P01,12,bo,Place on knife,7.0,7.0,14.0,0.5,False
Thinpath_P01,13,bo_replay_best,Assemble salad,0.0,30.0,30.0,0.0,False
Thinpath_P01,13,bo_replay_best,Chop,0.0,30.0,30.0,0.0,False
Thinpath_P01,13,bo_replay_best,Deliver correct,0.0,29.0,29.0,0.0,False
Thinpath_P01,13,bo_replay_best,Deliver wrong,0.0,3.0,3.0,0.0,False
Thinpath_P01,13,bo_replay_best,Pick up from knife,0.0,30.0,30.0,0.0,False
Thinpath_P01,13,bo_replay_best,Pickup lettuce,41.0,35.0,76.0,0.5394736842105263,False
Thinpath_P01,13,bo_replay_best,Pickup plate,39.0,31.0,70.0,0.5571428571428572,False
Thinpath_P01,13,bo_replay_best,Place on counter,79.0,3.0,82.0,0.9634146341463414,False
Thinpath_P01,13,bo_replay_best,Place on knife,0.0,30.0,30.0,0.0,False
Thinpath_P01,14,stress,Assemble salad,0.0,31.0,31.0,0.0,False
Thinpath_P01,14,stress,Chop,0.0,32.0,32.0,0.0,False
Thinpath_P01,14,stress,Deliver correct,1.0,29.0,30.0,0.03333333333333333,False
Thinpath_P01,14,stress,Deliver wrong,0.0,0.0,0.0,,False
Thinpath_P01,14,stress,Pick up from knife,0.0,32.0,32.0,0.0,False
Thinpath_P01,14,stress,Pickup lettuce,39.0,33.0,72.0,0.5416666666666666,False
Thinpath_P01,14,stress,Pickup plate,39.0,29.0,68.0,0.5735294117647058,False
Thinpath_P01,14,stress,Place on counter,76.0,0.0,76.0,1.0,False
Thinpath_P01,14,stress,Place on knife,0.0,32.0,32.0,0.0,False
Thinpath_P01,15,stress,Assemble salad,2.0,10.0,12.0,0.16666666666666666,False
Thinpath_P01,15,stress,Chop,4.0,9.0,13.0,0.3076923076923077,False
Thinpath_P01,15,stress,Deliver correct,4.0,5.0,9.0,0.4444444444444444,False
Thinpath_P01,15,stress,Deliver wrong,0.0,3.0,3.0,0.0,False
Thinpath_P01,15,stress,Pick up from knife,4.0,9.0,13.0,0.3076923076923077,False
Thinpath_P01,15,stress,Pickup lettuce,21.0,20.0,41.0,0.5121951219512195,False
Thinpath_P01,15,stress,Pickup plate,30.0,6.0,36.0,0.8333333333333334,False
Thinpath_P01,15,stress,Place on counter,44.0,7.0,51.0,0.8627450980392157,False
Thinpath_P01,15,stress,Place on knife,4.0,9.0,13.0,0.3076923076923077,False
Thinpath_P01,16,stress,Assemble salad,0.0,42.0,42.0,0.0,False
Thinpath_P01,16,stress,Chop,0.0,43.0,43.0,0.0,False
Thinpath_P01,16,stress,Deliver correct,0.0,42.0,42.0,0.0,False
Thinpath_P01,16,stress,Deliver wrong,0.0,0.0,0.0,,False
Thinpath_P01,16,stress,Pick up from knife,0.0,42.0,42.0,0.0,False
Thinpath_P01,16,stress,Pickup lettuce,49.0,44.0,93.0,0.5268817204301075,False
Thinpath_P01,16,stress,Pickup plate,45.0,42.0,87.0,0.5172413793103449,False
Thinpath_P01,16,stress,Place on counter,93.0,0.0,93.0,1.0,False
Thinpath_P01,16,stress,Place on knife,0.0,43.0,43.0,0.0,False
Thinpath_P01,17,replay_optimal,Assemble salad,0.0,22.0,22.0,0.0,False
Thinpath_P01,17,replay_optimal,Chop,7.0,15.0,22.0,0.3181818181818182,False
Thinpath_P01,17,replay_optimal,Deliver correct,1.0,19.0,20.0,0.05,False
Thinpath_P01,17,replay_optimal,Deliver wrong,0.0,1.0,1.0,0.0,False
Thinpath_P01,17,replay_optimal,Pick up from knife,7.0,15.0,22.0,0.3181818181818182,False
Thinpath_P01,17,replay_optimal,Pickup lettuce,34.0,39.0,73.0,0.4657534246575342,False
Thinpath_P01,17,replay_optimal,Pickup plate,25.0,21.0,46.0,0.5434782608695652,False
Thinpath_P01,17,replay_optimal,Place on counter,56.0,16.0,72.0,0.7777777777777778,False
Thinpath_P01,17,replay_optimal,Place on knife,7.0,16.0,23.0,0.30434782608695654,False
Thinpath_P02,1,seed,Assemble salad,3.0,7.0,10.0,0.3,False
Thinpath_P02,1,seed,Chop,3.0,7.0,10.0,0.3,False
Thinpath_P02,1,seed,Deliver correct,1.0,6.0,7.0,0.14285714285714285,False
Thinpath_P02,1,seed,Deliver wrong,0.0,1.0,1.0,0.0,False
Thinpath_P02,1,seed,Pick up from knife,3.0,7.0,10.0,0.3,False
Thinpath_P02,1,seed,Pickup lettuce,13.0,11.0,24.0,0.5416666666666666,False
Thinpath_P02,1,seed,Pickup plate,4.0,6.0,10.0,0.4,False
Thinpath_P02,1,seed,Place on counter,13.0,3.0,16.0,0.8125,False
Thinpath_P02,1,seed,Place on knife,3.0,7.0,10.0,0.3,False
Thinpath_P02,2,seed,Assemble salad,0.0,9.0,9.0,0.0,False
Thinpath_P02,2,seed,Chop,2.0,9.0,11.0,0.18181818181818182,False
Thinpath_P02,2,seed,Deliver correct,0.0,6.0,6.0,0.0,False
