participant_id,episode_phase,condition,episode_index,n_rounds,total_dishes,mean_dishes_per_round,total_human_steps,human_steps_per_dish,mental_demand,performance_score,team_reward_score,human_reward_score,ai_reward_score,ai_steps,policy_id,delta_replay_minus_best_mean_dishes_per_round,delta_replay_minus_best_human_steps_per_dish,delta_replay_minus_best_mental_demand,delta_replay_minus_best_performance_score
Thinpath_P01,bo_replay_best,Best-policy,13,3,29.0,9.666666666666666,456.0,15.724137931034482,12.0,18.0,1930.6666666666667,-152.0,2082.6666666666665,210.66666666666666,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,-2.999999999999999,5.5758620689655185,8.0,-5.0
Thinpath_P01,replay_optimal,Replay changed behavior,17,3,20.0,6.666666666666667,426.0,21.3,20.0,13.0,1297.6666666666667,-18.666666666666668,1316.3333333333333,183.66666666666666,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,-2.999999999999999,5.5758620689655185,8.0,-5.0
Thinpath_P02,bo_replay_best,Best-policy,13,3,11.0,3.6666666666666665,225.0,20.454545454545453,11.0,9.0,708.6666666666666,155.0,553.6666666666666,116.33333333333333,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,-0.6666666666666665,9.767676767676768,0.0,1.0
Thinpath_P02,replay_optimal,Replay changed behavior,17,3,9.0,3.0,272.0,30.22222222222222,11.0,10.0,426.0,442.6666666666667,-16.666666666666668,133.33333333333334,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,-0.6666666666666665,9.767676767676768,0.0,1.0
Thinpath_P03,bo_replay_best,Best-policy,13,3,8.0,2.6666666666666665,190.0,23.75,11.0,8.0,523.3333333333334,490.0,33.333333333333336,83.33333333333333,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,2.0000000000000004,-1.178571428571427,0.0,5.0
Thinpath_P03,replay_optimal,Replay changed behavior,17,3,14.0,4.666666666666667,316.0,22.571428571428573,11.0,13.0,886.6666666666666,828.0,58.666666666666664,144.66666666666666,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,2.0000000000000004,-1.178571428571427,0.0,5.0
Thinpath_P04,bo_replay_best,Best-policy,13,3,42.0,14.0,542.0,12.904761904761905,7.0,16.0,2957.0,-180.66666666666666,3137.6666666666665,222.33333333333334,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,-8.666666666666668,13.970238095238095,5.0,-9.0
Thinpath_P04,replay_optimal,Replay changed behavior,17,3,16.0,5.333333333333333,430.0,26.875,12.0,7.0,1008.3333333333334,23.333333333333332,985.0,121.66666666666667,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,-8.666666666666668,13.970238095238095,5.0,-9.0
Thinpath_P05,bo_replay_best,Best-policy,13,3,20.0,6.666666666666667,318.0,15.9,4.0,18.0,1411.3333333333333,34.0,1377.3333333333333,119.33333333333333,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,-0.3333333333333339,1.4157894736842085,1.0,-2.0
Thinpath_P05,replay_optimal,Replay changed behavior,17,3,19.0,6.333333333333333,329.0,17.31578947368421,5.0,16.0,1359.0,43.666666666666664,1315.3333333333333,121.33333333333333,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,-0.3333333333333339,1.4157894736842085,1.0,-2.0
Thinpath_P06,bo_replay_best,Best-policy,13,1,2.0,2.0,69.0,34.5,17.0,3.0,404.0,-9.0,413.0,37.0,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,2.333333333333333,-3.3461538461538467,-10.0,10.0
Thinpath_P06,replay_optimal,Replay changed behavior,17,3,13.0,4.333333333333333,405.0,31.153846153846153,7.0,13.0,743.6666666666666,618.3333333333334,125.33333333333333,94.66666666666667,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,2.333333333333333,-3.3461538461538467,-10.0,10.0
