participant_id,best_episode_index,best_episode_phase,best_policy_id,best_policy_short,best_n_rounds,closest_rank,closest_episode_index,closest_episode_phase,closest_policy_id,closest_policy_short,closest_policy_distance,closest_n_rounds,best_mean_dishes_per_round,closest_mean_dishes_per_round,best_human_steps_per_dish,closest_human_steps_per_dish,best_total_dishes,closest_total_dishes,best_total_human_steps,closest_total_human_steps,best_team_reward_score,closest_team_reward_score,best_mental_demand,closest_mental_demand,best_performance_score,closest_performance_score
Thinpath_P01,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,3,1,2,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,27.26158341835795,3,9.666666666666666,3.3333333333333335,15.724137931034482,31.5,29.0,10.0,456.0,315.0,1930.6666666666667,567.3333333333334,12.0,5.0,18.0,11.0
Thinpath_P01,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,3,2,14,stress,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.9,a0sp_3_helping0_True_gamma0.9,29.8974428142696,3,9.666666666666666,10.0,15.724137931034482,15.266666666666667,29.0,30.0,456.0,458.0,1930.6666666666667,2075.3333333333335,12.0,16.0,18.0,19.0
Thinpath_P01,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,3,3,15,stress,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.95,a0sp_0_helping0_True_gamma0.95,47.15651455203872,3,9.666666666666666,3.0,15.724137931034482,40.666666666666664,29.0,9.0,456.0,366.0,1930.6666666666667,471.0,12.0,12.0,18.0,6.0
Thinpath_P02,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,3,1,2,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,27.26158341835795,3,3.6666666666666665,2.0,20.454545454545453,26.166666666666668,11.0,6.0,225.0,157.0,708.6666666666666,313.6666666666667,11.0,13.0,9.0,3.0
Thinpath_P02,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,3,2,9,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.9,a0sp_3_helping0_True_gamma0.9,29.8974428142696,3,3.6666666666666665,4.0,20.454545454545453,20.083333333333332,11.0,12.0,225.0,241.0,708.6666666666666,742.0,11.0,11.0,9.0,10.0
Thinpath_P02,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,3,3,7,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,a0sp_3_helping0_False_gamma0.8,44.74873392323642,3,3.6666666666666665,1.0,20.454545454545453,68.33333333333333,11.0,3.0,225.0,205.0,708.6666666666666,205.66666666666666,11.0,11.0,9.0,6.0
Thinpath_P03,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,a0sp_3_helping0_False_gamma0.8,3,1,11,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.95,a0sp_0_helping0_True_gamma0.95,43.8009809489154,3,2.6666666666666665,3.6666666666666665,23.75,25.727272727272727,8.0,11.0,190.0,283.0,523.3333333333334,602.0,11.0,13.0,8.0,9.0
Thinpath_P03,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,a0sp_3_helping0_False_gamma0.8,3,2,12,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,44.74873392323642,3,2.6666666666666665,4.333333333333333,23.75,22.307692307692307,8.0,13.0,190.0,290.0,523.3333333333334,797.3333333333334,11.0,12.0,8.0,8.0
Thinpath_P03,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,a0sp_3_helping0_False_gamma0.8,3,3,5,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.9,a0sp_3_helping0_False_gamma0.9,47.66274976339247,3,2.6666666666666665,5.333333333333333,23.75,22.0,8.0,16.0,190.0,352.0,523.3333333333334,1061.0,11.0,11.0,8.0,11.0
Thinpath_P04,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,3,1,6,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,27.26158341835795,3,14.0,11.333333333333334,12.904761904761905,14.323529411764707,42.0,34.0,542.0,487.0,2957.0,2367.6666666666665,7.0,7.0,16.0,14.0
Thinpath_P04,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,3,2,4,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.95,a0sp_3_helping0_False_gamma0.95,39.39370369955913,3,14.0,4.0,12.904761904761905,35.75,42.0,12.0,542.0,429.0,2957.0,684.3333333333334,7.0,13.0,16.0,5.0
Thinpath_P04,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,3,3,9,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.9,a0sp_1_helping0_False_gamma0.9,42.05983514163516,3,14.0,5.0,12.904761904761905,30.266666666666666,42.0,15.0,542.0,454.0,2957.0,876.6666666666666,7.0,9.0,16.0,8.0
Thinpath_P05,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,a0sp_0_helping0_False_gamma0.95,3,1,11,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.95,a0sp_1_helping0_False_gamma0.95,33.61700395601561,3,6.666666666666667,3.6666666666666665,15.9,26.454545454545453,20.0,11.0,318.0,291.0,1411.3333333333333,750.6666666666666,4.0,8.0,18.0,14.0
Thinpath_P05,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,a0sp_0_helping0_False_gamma0.95,3,2,5,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.9,a0sp_3_helping0_False_gamma0.9,41.330147614134226,3,6.666666666666667,3.6666666666666665,15.9,27.727272727272727,20.0,11.0,318.0,305.0,1411.3333333333333,691.0,4.0,9.0,18.0,16.0
Thinpath_P05,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,a0sp_0_helping0_False_gamma0.95,3,3,7,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.95,a0sp_0_helping0_True_gamma0.95,52.24511363655231,3,6.666666666666667,3.0,15.9,26.666666666666668,20.0,9.0,318.0,240.0,1411.3333333333333,489.0,4.0,6.0,18.0,16.0
