participant_id,episode_index,episode_phase,policy_id,policy_short,metric_value,total_dishes,total_human_steps,n_rounds,emb_x,emb_y
Thinpath_P01,1,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.95,a0sp_1_helping0_True_gamma0.95,0.6666666666666666,2.0,184.0,3,-34.625923,18.150135
Thinpath_P01,2,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,3.3333333333333335,10.0,315.0,3,0.52687544,49.09936
Thinpath_P01,3,seed,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.8,a0sp_0_helping0_False_gamma0.8,3.3333333333333335,10.0,360.0,3,-79.82283,29.541203
Thinpath_P01,4,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.95,a0sp_3_helping0_False_gamma0.95,2.3333333333333335,7.0,410.0,3,-30.803719,72.97943
Thinpath_P01,5,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.9,a0sp_3_helping0_False_gamma0.9,4.666666666666667,14.0,414.0,3,78.770775,-32.54613
Thinpath_P01,6,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.9,a0sp_0_helping0_False_gamma0.9,1.5,3.0,209.0,2,68.68631,91.0827
Thinpath_P01,7,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.8,a0sp_1_helping0_False_gamma0.8,6.666666666666667,20.0,363.0,3,10.799539,109.37905
Thinpath_P01,9,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.9,a0sp_1_helping0_False_gamma0.9,4.666666666666667,14.0,410.0,3,39.251617,65.513504
Thinpath_P01,11,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,10.0,30.0,454.0,3,13.387434,25.06189
Thinpath_P01,12,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.95,a0sp_1_helping0_False_gamma0.95,4.0,12.0,396.0,3,20.903227,-76.17148
Thinpath_P01,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,9.666666666666666,29.0,456.0,3,13.387434,25.06189
Thinpath_P01,14,stress,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.9,a0sp_3_helping0_True_gamma0.9,10.0,30.0,458.0,3,-1.7208959,-0.7372467
Thinpath_P01,15,stress,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.95,a0sp_0_helping0_True_gamma0.95,3.0,9.0,366.0,3,23.07529,-21.088758
Thinpath_P01,16,stress,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.8,a0sp_3_helping0_True_gamma0.8,14.0,42.0,568.0,3,-44.978638,-33.83267
Thinpath_P01,17,replay_optimal,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,6.666666666666667,20.0,426.0,3,13.387434,25.06189
Thinpath_P02,1,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.95,a0sp_1_helping0_True_gamma0.95,2.3333333333333335,7.0,176.0,3,-34.625923,18.150135
Thinpath_P02,2,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,2.0,6.0,157.0,3,0.52687544,49.09936
Thinpath_P02,3,seed,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.8,a0sp_0_helping0_False_gamma0.8,0.0,0.0,13.0,1,-79.82283,29.541203
Thinpath_P02,4,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.95,a0sp_3_helping0_False_gamma0.95,0.0,0.0,39.0,1,-30.803719,72.97943
Thinpath_P02,5,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.9,a0sp_3_helping0_False_gamma0.9,2.3333333333333335,7.0,235.0,3,78.770775,-32.54613
Thinpath_P02,6,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,3.6666666666666665,11.0,227.0,3,13.387434,25.06189
Thinpath_P02,7,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,a0sp_3_helping0_False_gamma0.8,1.0,3.0,205.0,3,55.081795,8.812907
Thinpath_P02,9,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.9,a0sp_3_helping0_True_gamma0.9,4.0,12.0,241.0,3,-1.7208959,-0.7372467
Thinpath_P02,11,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.95,a0sp_0_helping0_True_gamma0.95,2.6666666666666665,8.0,231.0,3,23.07529,-21.088758
Thinpath_P02,12,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.9,a0sp_1_helping0_False_gamma0.9,1.3333333333333333,4.0,212.0,3,39.251617,65.513504
Thinpath_P02,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,3.6666666666666665,11.0,225.0,3,13.387434,25.06189
Thinpath_P02,14,stress,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.9,a0sp_0_helping0_True_gamma0.9,2.3333333333333335,7.0,250.0,3,-45.946297,-3.975665
Thinpath_P02,15,stress,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.8,a0sp_1_helping0_False_gamma0.8,0.6666666666666666,2.0,150.0,3,10.799539,109.37905
Thinpath_P02,16,stress,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,a0sp_0_helping0_False_gamma0.95,1.0,3.0,212.0,3,52.37194,-64.3468
Thinpath_P02,17,replay_optimal,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,3.0,9.0,272.0,3,13.387434,25.06189
