participant_id,episode_index,episode_phase,policy_id,policy_short,metric,metric_value,total_dishes,total_human_steps,n_rounds,team_reward_score,human_reward_score,ai_reward_score,mental_demand,performance_score,ai_steps,emb_x,emb_y
Thinpath_P01,1,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.95,a0sp_1_helping0_True_gamma0.95,ai_reward_score,127.66666666666667,2.0,184.0,3,99.66666666666667,-28.0,127.66666666666667,6.0,1.0,39.0,-34.625923,18.150135
Thinpath_P01,2,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,ai_reward_score,412.3333333333333,10.0,315.0,3,567.3333333333334,155.0,412.3333333333333,5.0,11.0,91.0,0.52687544,49.09936
Thinpath_P01,3,seed,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.8,a0sp_0_helping0_False_gamma0.8,ai_reward_score,319.0,10.0,360.0,3,632.3333333333334,313.3333333333333,319.0,11.0,13.0,74.33333333333333,-79.82283,29.541203
Thinpath_P01,4,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.95,a0sp_3_helping0_False_gamma0.95,ai_reward_score,-15.0,7.0,410.0,3,315.0,330.0,-15.0,7.0,6.0,101.66666666666667,-30.803719,72.97943
Thinpath_P01,5,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.9,a0sp_3_helping0_False_gamma0.9,ai_reward_score,90.0,14.0,414.0,3,885.3333333333334,795.3333333333334,90.0,12.0,14.0,123.33333333333333,78.770775,-32.54613
Thinpath_P01,6,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.9,a0sp_0_helping0_False_gamma0.9,ai_reward_score,349.5,3.0,209.0,2,245.0,-104.5,349.5,2.0,1.0,35.5,68.68631,91.0827
Thinpath_P01,7,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.8,a0sp_1_helping0_False_gamma0.8,ai_reward_score,1467.6666666666667,20.0,363.0,3,1346.6666666666667,-121.0,1467.6666666666667,3.0,20.0,169.0,10.799539,109.37905
Thinpath_P01,9,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.9,a0sp_1_helping0_False_gamma0.9,ai_reward_score,458.0,14.0,410.0,3,888.0,430.0,458.0,12.0,11.0,112.0,39.251617,65.513504
Thinpath_P01,11,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,ai_reward_score,2199.0,30.0,454.0,3,2047.6666666666667,-151.33333333333334,2199.0,13.0,20.0,201.0,13.387434,25.06189
Thinpath_P01,12,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.95,a0sp_1_helping0_False_gamma0.95,ai_reward_score,506.0,12.0,396.0,3,794.0,288.0,506.0,15.0,9.0,64.0,20.903227,-76.17148
Thinpath_P01,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,ai_reward_score,2082.6666666666665,29.0,456.0,3,1930.6666666666667,-152.0,2082.6666666666665,12.0,18.0,210.66666666666666,13.387434,25.06189
Thinpath_P01,14,stress,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.9,a0sp_3_helping0_True_gamma0.9,ai_reward_score,2161.3333333333335,30.0,458.0,3,2075.3333333333335,-86.0,2161.3333333333335,16.0,19.0,202.0,-1.7208959,-0.7372467
Thinpath_P01,15,stress,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.95,a0sp_0_helping0_True_gamma0.95,ai_reward_score,286.3333333333333,9.0,366.0,3,471.0,184.66666666666666,286.3333333333333,12.0,6.0,133.66666666666666,23.07529,-21.088758
Thinpath_P01,16,stress,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.8,a0sp_3_helping0_True_gamma0.8,ai_reward_score,3158.6666666666665,42.0,568.0,3,2969.3333333333335,-189.33333333333334,3158.6666666666665,1.0,20.0,218.0,-44.978638,-33.83267
Thinpath_P02,1,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.95,a0sp_1_helping0_True_gamma0.95,ai_reward_score,408.3333333333333,7.0,176.0,3,456.3333333333333,48.0,408.3333333333333,14.0,2.0,78.33333333333333,-34.625923,18.150135
Thinpath_P02,2,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,ai_reward_score,352.6666666666667,6.0,157.0,3,313.6666666666667,-39.0,352.6666666666667,13.0,3.0,94.0,0.52687544,49.09936
Thinpath_P02,3,seed,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.8,a0sp_0_helping0_False_gamma0.8,ai_reward_score,-13.0,0.0,13.0,1,-26.0,-13.0,-13.0,13.0,1.0,13.0,-79.82283,29.541203
Thinpath_P02,4,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.95,a0sp_3_helping0_False_gamma0.95,ai_reward_score,-95.0,0.0,39.0,1,-134.0,-39.0,-95.0,15.0,1.0,95.0,-30.803719,72.97943
Thinpath_P02,5,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.9,a0sp_3_helping0_False_gamma0.9,ai_reward_score,24.333333333333332,7.0,235.0,3,432.6666666666667,408.3333333333333,24.333333333333332,10.0,6.0,112.33333333333333,78.770775,-32.54613
Thinpath_P02,6,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,ai_reward_score,386.3333333333333,11.0,227.0,3,710.6666666666666,324.3333333333333,386.3333333333333,10.0,7.0,130.33333333333334,13.387434,25.06189
Thinpath_P02,7,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,a0sp_3_helping0_False_gamma0.8,ai_reward_score,27.333333333333332,3.0,205.0,3,205.66666666666666,178.33333333333334,27.333333333333332,11.0,6.0,42.666666666666664,55.081795,8.812907
Thinpath_P02,9,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.9,a0sp_3_helping0_True_gamma0.9,ai_reward_score,355.6666666666667,12.0,241.0,3,742.0,386.3333333333333,355.6666666666667,11.0,10.0,124.33333333333333,-1.7208959,-0.7372467
Thinpath_P02,11,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.95,a0sp_0_helping0_True_gamma0.95,ai_reward_score,128.0,8.0,231.0,3,384.3333333333333,256.3333333333333,128.0,12.0,9.0,125.33333333333333,23.07529,-21.088758
Thinpath_P02,12,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.9,a0sp_1_helping0_False_gamma0.9,ai_reward_score,50.666666666666664,4.0,212.0,3,166.66666666666666,116.0,50.666666666666664,10.0,7.0,79.33333333333333,39.251617,65.513504
Thinpath_P02,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,ai_reward_score,553.6666666666666,11.0,225.0,3,708.6666666666666,155.0,553.6666666666666,11.0,9.0,116.33333333333333,13.387434,25.06189
Thinpath_P02,14,stress,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.9,a0sp_0_helping0_True_gamma0.9,ai_reward_score,242.0,7.0,250.0,3,365.3333333333333,123.33333333333333,242.0,11.0,8.0,118.0,-45.946297,-3.975665
Thinpath_P02,15,stress,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.8,a0sp_1_helping0_False_gamma0.8,ai_reward_score,68.0,2.0,150.0,3,41.333333333333336,-26.666666666666668,68.0,14.0,7.0,98.66666666666667,10.799539,109.37905
Thinpath_P02,16,stress,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,a0sp_0_helping0_False_gamma0.95,ai_reward_score,120.0,3.0,212.0,3,156.0,36.0,120.0,12.0,8.0,60.0,52.37194,-64.3468
Thinpath_P03,1,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.95,a0sp_1_helping0_True_gamma0.95,ai_reward_score,216.5,3.0,161.0,2,306.0,89.5,216.5,10.0,2.0,53.5,-34.625923,18.150135
Thinpath_P03,2,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,ai_reward_score,446.3333333333333,8.0,246.0,3,467.6666666666667,21.333333333333332,446.3333333333333,12.0,4.0,90.33333333333333,0.52687544,49.09936
Thinpath_P03,3,seed,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.8,a0sp_0_helping0_False_gamma0.8,ai_reward_score,36.666666666666664,7.0,332.0,3,409.3333333333333,372.6666666666667,36.666666666666664,13.0,3.0,86.66666666666667,-79.82283,29.541203
