participant_id,episode_phase,condition,task_group,task_label,human_count,ai_count,total_count,human_share,ai_share
Thinpath_P01,bo_replay_best,Best-policy,assemble,Assemble salad,0.0,30.0,30.0,0.0,1.0
Thinpath_P01,bo_replay_best,Best-policy,chop,Chop,0.0,30.0,30.0,0.0,1.0
Thinpath_P01,bo_replay_best,Best-policy,deliver,Deliver,0.0,29.0,29.0,0.0,1.0
Thinpath_P01,bo_replay_best,Best-policy,pickup_from_knife,Pick up from knife,0.0,30.0,30.0,0.0,1.0
Thinpath_P01,bo_replay_best,Best-policy,pickup_lettuce,Pick up lettuce,41.0,35.0,76.0,0.5394736842105263,0.4605263157894737
Thinpath_P01,bo_replay_best,Best-policy,pickup_plate,Pick up plate,39.0,31.0,70.0,0.5571428571428572,0.44285714285714284
Thinpath_P01,bo_replay_best,Best-policy,place_counter,Place on counter,79.0,3.0,82.0,0.9634146341463414,0.036585365853658534
Thinpath_P01,bo_replay_best,Best-policy,place_knife,Place on knife,0.0,30.0,30.0,0.0,1.0
Thinpath_P01,replay_optimal,Replay changed behavior,assemble,Assemble salad,0.0,22.0,22.0,0.0,1.0
Thinpath_P01,replay_optimal,Replay changed behavior,chop,Chop,7.0,15.0,22.0,0.3181818181818182,0.6818181818181818
Thinpath_P01,replay_optimal,Replay changed behavior,deliver,Deliver,1.0,19.0,20.0,0.05,0.95
Thinpath_P01,replay_optimal,Replay changed behavior,pickup_from_knife,Pick up from knife,7.0,15.0,22.0,0.3181818181818182,0.6818181818181818
Thinpath_P01,replay_optimal,Replay changed behavior,pickup_lettuce,Pick up lettuce,34.0,39.0,73.0,0.4657534246575342,0.5342465753424658
Thinpath_P01,replay_optimal,Replay changed behavior,pickup_plate,Pick up plate,25.0,21.0,46.0,0.5434782608695652,0.45652173913043476
Thinpath_P01,replay_optimal,Replay changed behavior,place_counter,Place on counter,56.0,16.0,72.0,0.7777777777777778,0.2222222222222222
Thinpath_P01,replay_optimal,Replay changed behavior,place_knife,Place on knife,7.0,16.0,23.0,0.30434782608695654,0.6956521739130435
Thinpath_P02,bo_replay_best,Best-policy,assemble,Assemble salad,0.0,12.0,12.0,0.0,1.0
Thinpath_P02,bo_replay_best,Best-policy,chop,Chop,6.0,8.0,14.0,0.42857142857142855,0.5714285714285714
Thinpath_P02,bo_replay_best,Best-policy,deliver,Deliver,3.0,8.0,11.0,0.2727272727272727,0.7272727272727273
Thinpath_P02,bo_replay_best,Best-policy,pickup_from_knife,Pick up from knife,6.0,8.0,14.0,0.42857142857142855,0.5714285714285714
Thinpath_P02,bo_replay_best,Best-policy,pickup_lettuce,Pick up lettuce,16.0,23.0,39.0,0.41025641025641024,0.5897435897435898
Thinpath_P02,bo_replay_best,Best-policy,pickup_plate,Pick up plate,4.0,12.0,16.0,0.25,0.75
Thinpath_P02,bo_replay_best,Best-policy,place_counter,Place on counter,16.0,13.0,29.0,0.5517241379310345,0.4482758620689655
Thinpath_P02,bo_replay_best,Best-policy,place_knife,Place on knife,6.0,8.0,14.0,0.42857142857142855,0.5714285714285714
Thinpath_P02,replay_optimal,Replay changed behavior,assemble,Assemble salad,0.0,10.0,10.0,0.0,1.0
Thinpath_P02,replay_optimal,Replay changed behavior,chop,Chop,0.0,11.0,11.0,0.0,1.0
Thinpath_P02,replay_optimal,Replay changed behavior,deliver,Deliver,8.0,1.0,9.0,0.8888888888888888,0.1111111111111111
Thinpath_P02,replay_optimal,Replay changed behavior,pickup_from_knife,Pick up from knife,0.0,11.0,11.0,0.0,1.0
Thinpath_P02,replay_optimal,Replay changed behavior,pickup_lettuce,Pick up lettuce,12.0,27.0,39.0,0.3076923076923077,0.6923076923076923
Thinpath_P02,replay_optimal,Replay changed behavior,pickup_plate,Pick up plate,20.0,1.0,21.0,0.9523809523809523,0.047619047619047616
Thinpath_P02,replay_optimal,Replay changed behavior,place_counter,Place on counter,24.0,10.0,34.0,0.7058823529411765,0.29411764705882354
Thinpath_P02,replay_optimal,Replay changed behavior,place_knife,Place on knife,0.0,11.0,11.0,0.0,1.0
Thinpath_P03,bo_replay_best,Best-policy,assemble,Assemble salad,2.0,7.0,9.0,0.2222222222222222,0.7777777777777778
Thinpath_P03,bo_replay_best,Best-policy,chop,Chop,1.0,9.0,10.0,0.1,0.9
Thinpath_P03,bo_replay_best,Best-policy,deliver,Deliver,8.0,0.0,8.0,1.0,0.0
Thinpath_P03,bo_replay_best,Best-policy,pickup_from_knife,Pick up from knife,1.0,9.0,10.0,0.1,0.9
