policy,x,y
a0sp_0_a1sp_0_helping0_False_helping1_False_gamma0.9_0.8,-2.875022,-5.921602
a0sp_0_a1sp_0_helping0_False_helping1_False_gamma0.9_0.9,0.798989,0.86082464
a0sp_0_a1sp_0_helping0_False_helping1_True_gamma0.8_0.8,-4.9487214,5.1639743
a0sp_0_a1sp_0_helping0_False_helping1_True_gamma0.8_0.9,-2.964044,2.5970218
a0sp_0_a1sp_0_helping0_False_helping1_True_gamma0.8_0.95,-1.573472,0.22356588
a0sp_0_a1sp_0_helping0_False_helping1_True_gamma0.95_0.8,-2.8831067,1.8571905
a0sp_0_a1sp_0_helping0_False_helping1_True_gamma0.95_0.95,-2.9592967,-4.399458
a0sp_0_a1sp_0_helping0_False_helping1_True_gamma0.9_0.8,-3.979257,3.6143806
a0sp_0_a1sp_0_helping0_False_helping1_True_gamma0.9_0.95,-3.0091128,-5.287123
a0sp_0_a1sp_0_helping0_True_helping1_False_gamma0.8_0.9,0.8263047,0.15244903
a0sp_0_a1sp_0_helping0_True_helping1_False_gamma0.8_0.95,0.34453085,-0.3594384
a0sp_0_a1sp_0_helping0_True_helping1_True_gamma0.8_0.9,-4.2045145,0.22929697
a0sp_0_a1sp_0_helping0_True_helping1_True_gamma0.9_0.8,-3.0885875,2.7955425
a0sp_0_a1sp_1_helping0_False_helping1_False_gamma0.8_0.95,-0.9293818,4.5603347
a0sp_0_a1sp_1_helping0_False_helping1_False_gamma0.9_0.8,-1.7142018,-6.7219157
a0sp_0_a1sp_1_helping0_False_helping1_False_gamma0.9_0.9,0.06275422,-0.10015584
a0sp_0_a1sp_1_helping0_False_helping1_False_gamma0.9_0.95,-2.0313435,2.060268
a0sp_0_a1sp_1_helping0_False_helping1_True_gamma0.8_0.8,-1.2086409,5.2878804
a0sp_0_a1sp_1_helping0_False_helping1_True_gamma0.95_0.8,-2.0834851,-4.7276073
a0sp_0_a1sp_1_helping0_False_helping1_True_gamma0.95_0.95,-1.355445,1.0938451
a0sp_0_a1sp_1_helping0_True_helping1_True_gamma0.8_0.95,-4.3558836,1.3684415
a0sp_0_a1sp_3_helping0_False_helping1_False_gamma0.95_0.8,-1.2246057,-6.672848
a0sp_0_a1sp_3_helping0_False_helping1_False_gamma0.95_0.95,-2.0359013,-6.283793
a0sp_0_a1sp_3_helping0_False_helping1_False_gamma0.9_0.9,-1.0083508,-6.462953
a0sp_0_a1sp_3_helping0_False_helping1_True_gamma0.8_0.8,-2.1019506,5.604465
a0sp_0_a1sp_3_helping0_False_helping1_True_gamma0.8_0.95,-1.8945782,4.696827
a0sp_0_a1sp_3_helping0_False_helping1_True_gamma0.95_0.9,-3.1477044,-4.9321632
a0sp_0_a1sp_3_helping0_False_helping1_True_gamma0.95_0.95,-1.8351781,-5.7034764
a0sp_0_a1sp_3_helping0_False_helping1_True_gamma0.9_0.8,-4.646072,6.2720923
a0sp_0_a1sp_3_helping0_False_helping1_True_gamma0.9_0.9,-2.2304068,-5.5201774
a0sp_1_a1sp_0_helping0_False_helping1_False_gamma0.9_0.8,-3.537326,-3.866939
a0sp_1_a1sp_0_helping0_False_helping1_True_gamma0.8_0.95,-3.471642,5.907237
a0sp_1_a1sp_0_helping0_False_helping1_True_gamma0.95_0.95,-1.6625875,3.4491236
a0sp_1_a1sp_0_helping0_False_helping1_True_gamma0.9_0.8,-3.4112625,-4.4721723
a0sp_1_a1sp_0_helping0_False_helping1_True_gamma0.9_0.9,-3.7603672,2.6809592
a0sp_1_a1sp_0_helping0_False_helping1_True_gamma0.9_0.95,-2.9131396,6.533059
a0sp_1_a1sp_0_helping0_True_helping1_True_gamma0.8_0.95,-0.82992476,2.8835084
a0sp_1_a1sp_0_helping0_True_helping1_True_gamma0.9_0.95,-3.7064526,1.7875118
a0sp_1_a1sp_1_helping0_False_helping1_False_gamma0.8_0.9,2.182284,3.0106883
a0sp_1_a1sp_1_helping0_False_helping1_False_gamma0.8_0.95,2.4197311,3.06213
a0sp_1_a1sp_1_helping0_False_helping1_False_gamma0.95_0.9,2.7378967,1.5416166
a0sp_1_a1sp_1_helping0_False_helping1_True_gamma0.8_0.8,-4.064485,4.533085
a0sp_1_a1sp_1_helping0_False_helping1_True_gamma0.8_0.95,-6.1463323,1.8818219
a0sp_1_a1sp_1_helping0_False_helping1_True_gamma0.95_0.8,-2.7820733,3.7916777
a0sp_1_a1sp_1_helping0_False_helping1_True_gamma0.95_0.9,-1.140094,1.4954742
a0sp_1_a1sp_1_helping0_False_helping1_True_gamma0.95_0.95,-3.219743,5.24368
a0sp_1_a1sp_1_helping0_False_helping1_True_gamma0.9_0.9,-3.2399437,-6.5039234
a0sp_1_a1sp_1_helping0_True_helping1_True_gamma0.9_0.95,-3.5218577,1.3469903
a0sp_1_a1sp_3_helping0_False_helping1_False_gamma0.8_0.8,-5.5972123,6.2351036
a0sp_1_a1sp_3_helping0_False_helping1_False_gamma0.9_0.9,-2.8482313,4.994966
a0sp_1_a1sp_3_helping0_False_helping1_True_gamma0.8_0.9,-4.2782826,6.015487
a0sp_1_a1sp_3_helping0_False_helping1_True_gamma0.9_0.95,-5.6798296,2.3549914
a0sp_3_a1sp_0_helping0_False_helping1_True_gamma0.9_0.9,2.677471,4.0615473
a0sp_3_a1sp_0_helping0_True_helping1_False_gamma0.8_0.8,0.9103423,0.36880264
a0sp_3_a1sp_0_helping0_True_helping1_True_gamma0.8_0.8,1.4863455,3.5891612
a0sp_3_a1sp_0_helping0_True_helping1_True_gamma0.9_0.8,-2.9932039,0.5717274
a0sp_3_a1sp_1_helping0_False_helping1_False_gamma0.8_0.95,2.4795113,3.4679086
a0sp_3_a1sp_1_helping0_False_helping1_False_gamma0.95_0.95,-3.9153063,6.9627852
a0sp_3_a1sp_1_helping0_False_helping1_True_gamma0.95_0.8,-1.700562,5.4294667
a0sp_3_a1sp_1_helping0_True_helping1_True_gamma0.9_0.95,-1.9491345,2.385762
a0sp_3_a1sp_3_helping0_False_helping1_False_gamma0.95_0.95,0.26073265,1.7769932
a0sp_3_a1sp_3_helping0_False_helping1_True_gamma0.95_0.8,-6.291819,5.9331403
