policy,x,y
a0sp_0_a1sp_0_helping_False,3.0054853,0.64131683
a0sp_0_a1sp_0_helping_True,4.051458,1.1929221
a0sp_0_a1sp_10_helping_False,1.4660064,2.8982222
a0sp_0_a1sp_10_helping_True,2.133834,-1.1396179
a0sp_0_a1sp_1_helping_False,2.588257,0.30481035
a0sp_0_a1sp_1_helping_True,2.2295518,-1.0990354
a0sp_0_a1sp_20_helping_False,2.3256917,0.77890825
a0sp_0_a1sp_20_helping_True,2.1413941,-1.0354477
a0sp_0_a1sp_50_helping_False,0.8992948,1.5578018
a0sp_0_a1sp_50_helping_True,4.262051,1.164284
a0sp_10_a1sp_0_helping_False,2.854326,3.54875
a0sp_10_a1sp_0_helping_True,4.1122565,2.4079947
a0sp_10_a1sp_10_helping_False,4.078756,1.9974569
a0sp_10_a1sp_10_helping_True,4.6523447,1.6570176
a0sp_10_a1sp_1_helping_False,2.3196363,3.1484878
a0sp_10_a1sp_1_helping_True,3.2196562,2.7473571
a0sp_10_a1sp_20_helping_False,0.8581671,1.8271841
a0sp_10_a1sp_20_helping_True,4.719827,2.2082632
a0sp_10_a1sp_50_helping_False,1.7878125,1.698164
a0sp_10_a1sp_50_helping_True,4.428016,0.88584644
a0sp_1_a1sp_0_helping_False,2.7609076,0.57117844
a0sp_1_a1sp_0_helping_True,2.29633,-1.0135934
a0sp_1_a1sp_10_helping_False,1.1778421,0.3071849
a0sp_1_a1sp_10_helping_True,2.049824,-1.0351212
a0sp_1_a1sp_1_helping_False,2.508054,3.2605278
a0sp_1_a1sp_1_helping_True,3.978162,1.1523643
a0sp_1_a1sp_20_helping_False,1.3230027,0.58663976
a0sp_1_a1sp_20_helping_True,1.8598794,-0.7120114
a0sp_1_a1sp_50_helping_False,2.4634407,1.6456116
a0sp_1_a1sp_50_helping_True,4.5277295,1.5292207
a0sp_20_a1sp_0_helping_False,1.7778238,3.528314
a0sp_20_a1sp_0_helping_True,1.8318493,3.614519
a0sp_20_a1sp_10_helping_False,3.927949,2.1672454
a0sp_20_a1sp_10_helping_True,2.2157648,2.6098142
a0sp_20_a1sp_1_helping_False,2.991504,1.9011608
a0sp_20_a1sp_1_helping_True,2.8371115,2.980912
a0sp_20_a1sp_20_helping_False,1.2752359,0.70985454
a0sp_20_a1sp_20_helping_True,3.8532472,-0.089674294
a0sp_20_a1sp_50_helping_False,0.46125424,1.7249191
a0sp_20_a1sp_50_helping_True,4.1942697,0.5223337
a0sp_50_a1sp_0_helping_False,1.0546454,0.759192
a0sp_50_a1sp_0_helping_True,4.2839923,2.1448538
a0sp_50_a1sp_10_helping_False,0.467923,1.726926
a0sp_50_a1sp_10_helping_True,1.8929335,-1.234777
a0sp_50_a1sp_1_helping_False,1.3175054,1.8628224
a0sp_50_a1sp_1_helping_True,2.0458775,1.7243544
a0sp_50_a1sp_20_helping_False,3.076931,3.880175
a0sp_50_a1sp_20_helping_True,4.529425,2.1370869
a0sp_50_a1sp_50_helping_False,3.5869231,-0.438407
a0sp_50_a1sp_50_helping_True,4.708304,2.209049
 
