policy,x,y
a0sp_0_helping0_False_gamma0.8,27.550085,4.175468
a0sp_0_helping0_False_gamma0.9,30.7023,-9.196494
a0sp_0_helping0_False_gamma0.95,-14.238845,-19.136724
a0sp_0_helping0_True_gamma0.8,5.6371355,-3.223723
a0sp_0_helping0_True_gamma0.9,-3.6537104,-11.449332
a0sp_0_helping0_True_gamma0.95,2.3617098,8.769279
a0sp_1_helping0_False_gamma0.8,7.9600034,20.672401
a0sp_1_helping0_False_gamma0.9,17.49535,-6.182231
a0sp_1_helping0_False_gamma0.95,-1.8260157,-25.114882
a0sp_1_helping0_True_gamma0.8,-6.3783135,18.288902
a0sp_1_helping0_True_gamma0.9,-6.2436714,0.540279
a0sp_1_helping0_True_gamma0.95,21.259987,16.669525
a0sp_3_helping0_False_gamma0.8,-17.864271,-5.7990575
a0sp_3_helping0_False_gamma0.9,8.374767,-15.202822
a0sp_3_helping0_False_gamma0.95,11.440379,-28.387358
a0sp_3_helping0_True_gamma0.8,21.592806,-19.296259
a0sp_3_helping0_True_gamma0.9,14.088826,5.889515
a0sp_3_helping0_True_gamma0.95,-16.43104,8.563796
