policy,x,y
a0sp_0_a1sp_0_helping_False_gamma0.8_0.8,2.423857,1.6672102
a0sp_0_a1sp_0_helping_False_gamma0.8_0.9,3.6754315,4.3273444
a0sp_0_a1sp_0_helping_False_gamma0.8_0.95,8.782876,0.4097256
a0sp_0_a1sp_0_helping_False_gamma0.95_0.9,5.981903,-1.201733
a0sp_0_a1sp_0_helping_False_gamma0.9_0.9,3.5299385,3.747841
a0sp_0_a1sp_0_helping_False_gamma0.9_0.95,3.2604265,6.057431
a0sp_0_a1sp_0_helping_True_gamma0.8_0.8,-1.01881,4.4446526
a0sp_0_a1sp_0_helping_True_gamma0.8_0.9,3.9577801,0.07191579
a0sp_0_a1sp_0_helping_True_gamma0.8_0.95,3.3138983,-1.1015378
a0sp_0_a1sp_0_helping_True_gamma0.9_0.8,-1.9564943,4.522736
a0sp_0_a1sp_1_helping_False_gamma0.8_0.9,3.2769642,1.0221976
a0sp_0_a1sp_1_helping_False_gamma0.8_0.95,8.331048,-0.32034484
a0sp_0_a1sp_1_helping_False_gamma0.95_0.9,6.129444,-2.4310997
a0sp_0_a1sp_1_helping_False_gamma0.95_0.95,-2.598298,4.692529
a0sp_0_a1sp_1_helping_False_gamma0.9_0.95,8.28127,-0.21901138
a0sp_0_a1sp_1_helping_True_gamma0.8_0.8,4.4753532,0.981581
a0sp_0_a1sp_1_helping_True_gamma0.8_0.9,4.0747495,-1.6363623
a0sp_0_a1sp_1_helping_True_gamma0.95_0.95,4.8073416,0.036813933
a0sp_0_a1sp_1_helping_True_gamma0.9_0.8,0.0026976701,3.0811884
a0sp_0_a1sp_1_helping_True_gamma0.9_0.95,2.0456095,-2.5254395
a0sp_0_a1sp_5_helping_False_gamma0.8_0.8,4.7387934,-3.7049735
a0sp_0_a1sp_5_helping_False_gamma0.8_0.95,4.8894253,-2.5239038
a0sp_0_a1sp_5_helping_False_gamma0.9_0.9,5.6334724,-2.9069877
a0sp_0_a1sp_5_helping_False_gamma0.9_0.95,5.615915,-2.158528
a0sp_0_a1sp_5_helping_True_gamma0.8_0.9,2.4992454,-0.7810733
a0sp_0_a1sp_5_helping_True_gamma0.8_0.95,0.40785939,3.3874862
a0sp_0_a1sp_5_helping_True_gamma0.95_0.8,-0.87967557,3.175033
a0sp_0_a1sp_5_helping_True_gamma0.9_0.8,-0.77713513,5.649358
a0sp_0_a1sp_5_helping_True_gamma0.9_0.9,4.549865,-0.5898303
a0sp_1_a1sp_0_helping_False_gamma0.8_0.95,4.0229588,5.3532066
a0sp_1_a1sp_0_helping_False_gamma0.95_0.9,3.1073244,4.8081136
a0sp_1_a1sp_0_helping_False_gamma0.9_0.9,4.276264,5.1836686
a0sp_1_a1sp_0_helping_False_gamma0.9_0.95,5.872435,4.320258
a0sp_1_a1sp_0_helping_True_gamma0.8_0.8,-3.0145936,7.17131
a0sp_1_a1sp_1_helping_False_gamma0.95_0.9,3.8364058,5.854609
a0sp_1_a1sp_1_helping_True_gamma0.8_0.8,-0.58273643,3.7225351
a0sp_1_a1sp_1_helping_True_gamma0.8_0.9,-0.41989884,5.1282115
a0sp_1_a1sp_1_helping_True_gamma0.8_0.95,2.79903,-1.540431
a0sp_1_a1sp_1_helping_True_gamma0.95_0.9,2.2700014,0.021227248
a0sp_1_a1sp_1_helping_True_gamma0.9_0.9,1.4259982,3.534964
a0sp_1_a1sp_5_helping_False_gamma0.9_0.8,4.366698,-3.1337478
a0sp_1_a1sp_5_helping_True_gamma0.8_0.8,-2.0902567,2.719769
a0sp_1_a1sp_5_helping_True_gamma0.8_0.9,-1.9283541,3.5031433
a0sp_1_a1sp_5_helping_True_gamma0.8_0.95,3.4940324,-0.58625746
a0sp_1_a1sp_5_helping_True_gamma0.9_0.9,5.405726,-1.443999
a0sp_5_a1sp_0_helping_True_gamma0.8_0.9,-2.3904777,5.5030947
a0sp_5_a1sp_0_helping_True_gamma0.9_0.8,5.2598596,2.1596792
a0sp_5_a1sp_1_helping_False_gamma0.8_0.9,5.280342,3.4993389
a0sp_5_a1sp_1_helping_True_gamma0.8_0.8,0.6774856,6.72578
a0sp_5_a1sp_1_helping_True_gamma0.8_0.95,2.4832,-3.0950217
a0sp_5_a1sp_1_helping_True_gamma0.9_0.8,-1.7947171,6.2949815
a0sp_5_a1sp_5_helping_True_gamma0.8_0.95,5.9149213,1.2620866
a0sp_5_a1sp_5_helping_True_gamma0.95_0.8,-1.3849711,5.636475
a0sp_5_a1sp_5_helping_True_gamma0.9_0.8,-3.0928583,7.3511343
 
