policy,x,y
a0sp_0_helping0_False_gamma0.8,31.743282,28.387281
a0sp_0_helping0_False_gamma0.9,-7.2895937,41.98845
a0sp_0_helping0_False_gamma0.95,38.72228,-13.535172
a0sp_0_helping0_True_gamma0.8,-31.551144,-69.58127
a0sp_0_helping0_True_gamma0.9,1.1299013,1.053623
a0sp_0_helping0_True_gamma0.95,-31.542519,-23.79253
a0sp_1_helping0_False_gamma0.8,-37.89922,15.854448
a0sp_1_helping0_False_gamma0.9,47.066776,-59.4782
a0sp_1_helping0_False_gamma0.95,-79.22413,1.5240539
a0sp_1_helping0_True_gamma0.8,-64.015526,49.873726
a0sp_1_helping0_True_gamma0.9,-69.92623,-44.401
a0sp_1_helping0_True_gamma0.95,6.239846,-40.244476
a0sp_3_helping0_False_gamma0.8,10.884483,-86.07492
a0sp_3_helping0_False_gamma0.9,22.288263,76.3866
a0sp_3_helping0_False_gamma0.95,65.35005,56.89345
a0sp_3_helping0_True_gamma0.8,75.191376,12.822322
a0sp_3_helping0_True_gamma0.9,81.5469,-31.574175
a0sp_3_helping0_True_gamma0.95,-26.645555,80.29298
