policy,x,y
a0sp_0_helping0_False_gamma0.8,-79.82283,29.541203
a0sp_0_helping0_False_gamma0.9,68.68631,91.0827
a0sp_0_helping0_False_gamma0.95,52.37194,-64.3468
a0sp_0_helping0_True_gamma0.8,13.387434,25.06189
a0sp_0_helping0_True_gamma0.9,-45.946297,-3.975665
a0sp_0_helping0_True_gamma0.95,23.07529,-21.088758
a0sp_1_helping0_False_gamma0.8,10.799539,109.37905
a0sp_1_helping0_False_gamma0.9,39.251617,65.513504
a0sp_1_helping0_False_gamma0.95,20.903227,-76.17148
a0sp_1_helping0_True_gamma0.8,-88.61982,-60.256435
a0sp_1_helping0_True_gamma0.9,0.52687544,49.09936
a0sp_1_helping0_True_gamma0.95,-34.625923,18.150135
a0sp_3_helping0_False_gamma0.8,55.081795,8.812907
a0sp_3_helping0_False_gamma0.9,78.770775,-32.54613
a0sp_3_helping0_False_gamma0.95,-30.803719,72.97943
a0sp_3_helping0_True_gamma0.8,-44.978638,-33.83267
a0sp_3_helping0_True_gamma0.9,-1.7208959,-0.7372467
a0sp_3_helping0_True_gamma0.95,-111.805916,-53.910435
