policy,x,y
a0sp_0_a1sp_0_helping_False_gamma0.8_0.8,-1.0338371,4.150761
a0sp_0_a1sp_0_helping_False_gamma0.8_0.9,4.151468,3.1133454
a0sp_0_a1sp_0_helping_False_gamma0.8_0.95,5.0359325,0.9642199
a0sp_0_a1sp_0_helping_False_gamma0.95_0.9,-3.9996166,2.4466128
a0sp_0_a1sp_0_helping_False_gamma0.9_0.8,4.8974156,2.0927608
a0sp_0_a1sp_0_helping_False_gamma0.9_0.9,0.35230616,4.4716916
a0sp_0_a1sp_0_helping_True_gamma0.8_0.8,2.551046,-3.211255
a0sp_0_a1sp_0_helping_True_gamma0.8_0.9,2.236336,-1.9403819
a0sp_0_a1sp_0_helping_True_gamma0.9_0.8,0.24431352,-2.255838
a0sp_0_a1sp_1_helping_False_gamma0.8_0.8,-0.40140754,1.7113235
a0sp_0_a1sp_1_helping_False_gamma0.8_0.9,6.5932117,-1.4964447
a0sp_0_a1sp_1_helping_False_gamma0.8_0.95,6.236892,-1.0279588
a0sp_0_a1sp_1_helping_False_gamma0.95_0.8,0.31237,0.8763066
a0sp_0_a1sp_1_helping_False_gamma0.95_0.9,3.1944752,-4.457528
a0sp_0_a1sp_1_helping_False_gamma0.95_0.95,0.04298447,3.003198
a0sp_0_a1sp_1_helping_False_gamma0.9_0.8,-4.019003,2.432585
a0sp_0_a1sp_1_helping_False_gamma0.9_0.95,0.6818514,3.471061
a0sp_0_a1sp_1_helping_True_gamma0.8_0.8,1.7304828,-2.2721374
a0sp_0_a1sp_1_helping_True_gamma0.9_0.9,4.5145016,-1.3635556
a0sp_0_a1sp_1_helping_True_gamma0.9_0.95,3.8992374,-2.337956
a0sp_0_a1sp_3_helping_False_gamma0.8_0.8,-1.6566179,1.1436788
a0sp_0_a1sp_3_helping_False_gamma0.8_0.95,3.3766658,-4.839001
a0sp_0_a1sp_3_helping_False_gamma0.95_0.9,-2.5172336,-2.239223
a0sp_0_a1sp_3_helping_False_gamma0.95_0.95,-2.3775296,-2.5178888
a0sp_0_a1sp_3_helping_False_gamma0.9_0.9,-0.74832445,1.8692443
a0sp_0_a1sp_3_helping_False_gamma0.9_0.95,-2.3790336,-1.133354
a0sp_0_a1sp_3_helping_True_gamma0.9_0.9,3.1724837,-2.0745494
a0sp_1_a1sp_0_helping_False_gamma0.8_0.8,-2.2171805,2.816524
a0sp_1_a1sp_0_helping_False_gamma0.8_0.95,5.2044415,1.4212596
a0sp_1_a1sp_0_helping_False_gamma0.95_0.8,2.3864186,3.049314
a0sp_1_a1sp_0_helping_False_gamma0.9_0.9,4.7357764,0.6755533
a0sp_1_a1sp_0_helping_False_gamma0.9_0.95,1.9489738,4.050798
a0sp_1_a1sp_1_helping_False_gamma0.95_0.8,-1.0034738,0.5591829
a0sp_1_a1sp_1_helping_False_gamma0.95_0.9,-3.6641026,2.639055
a0sp_1_a1sp_1_helping_False_gamma0.95_0.95,0.8803395,4.537459
a0sp_1_a1sp_1_helping_False_gamma0.9_0.8,0.84910125,0.40196624
a0sp_1_a1sp_1_helping_False_gamma0.9_0.9,1.2175287,3.3304827
a0sp_1_a1sp_1_helping_True_gamma0.9_0.95,3.3966362,-2.9574723
a0sp_1_a1sp_3_helping_False_gamma0.9_0.8,-1.0578023,0.20705894
a0sp_1_a1sp_3_helping_False_gamma0.9_0.9,-1.6402496,-1.7815944
a0sp_1_a1sp_3_helping_False_gamma0.9_0.95,-1.7181507,0.04557389
a0sp_1_a1sp_3_helping_True_gamma0.8_0.9,2.6963184,-2.2090242
a0sp_1_a1sp_3_helping_True_gamma0.8_0.95,-0.07357204,-3.3874686
a0sp_1_a1sp_3_helping_True_gamma0.9_0.8,2.1640205,-2.7710035
a0sp_3_a1sp_0_helping_False_gamma0.95_0.8,6.7899284,-2.894024
a0sp_3_a1sp_0_helping_False_gamma0.95_0.9,6.974193,-2.5887535
a0sp_3_a1sp_0_helping_False_gamma0.9_0.9,6.7300076,-2.720957
a0sp_3_a1sp_0_helping_True_gamma0.8_0.8,2.2519736,-1.4939779
a0sp_3_a1sp_0_helping_True_gamma0.8_0.95,1.1007779,2.8927972
a0sp_3_a1sp_0_helping_True_gamma0.95_0.95,0.7725014,-3.5696585
a0sp_3_a1sp_0_helping_True_gamma0.9_0.95,2.823165,2.772632
a0sp_3_a1sp_3_helping_True_gamma0.8_0.8,2.6593633,-0.68485075
